snomedcode,Description,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
203879001#,[X]Osteoporosis in other disorders classified elsewhere (disorder),NA#,NA,NA,NA,NA#,NA,NA
203878009#,[X]Other osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
203877004#,[X]Other osteoporosis with pathological fracture (disorder),NA#,NA,NA,NA,NA#,NA,NA
203885008#,[X]Unspecified osteoporosis with pathological fracture,NA#,NA,NA,NA,NA#,NA,NA
240155001#,Adult idiopathic generalised osteoporosis,5144171000006114#,Adult idiopathic generalized osteoporosis,^ESCTAD514417,NA,359782015#,NA,31
240155001#,Adult idiopathic generalised osteoporosis,5144161000006119#,Adult idiopathic generalised osteoporosis,^ESCTAD514416,NA,359781010#,NA,31
18040001#,Age related osteoporosis,2786171000006119#,Type II osteoporosis,^ESCTTY278617,NA,478468010#,NA,32
18040001#,Age related osteoporosis,2786191000006118#,Age related osteoporosis,^ESCTAG278619,NA,3035869014#,NA,32
18040001#,Age related osteoporosis,30475015#,Senile osteoporosis,N3301,N330100,30475015#,NA,32
18040001#,Age related osteoporosis,2786181000006116#,Involutional osteoporosis,^ESCTIN278618,NA,478469019#,NA,32
897308007#,Chronic kidney disease with osteoporosis (disorder),NA#,NA,NA,NA,NA#,NA,NA
203459002#,Collapse of cervical vertebra due to osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
311806008#,Collapse of cervical vertebra due to osteoporosis (disorder),455433012#,Collapse of cervical vertebra due to osteoporosis,N331H,N331H00,455433012#,NA,32
311890007#,Collapse of lumbar vertebra due to osteoporosis,455534015#,Collapse of lumbar vertebra due to osteoporosis,N331J,N331J00,455534015#,NA,32
203460007#,Collapse of lumbar vertebra due to osteoporosis (disorder),NA#,NA,NA,NA,NA#,NA,NA
203461006#,Collapse of thoracic vertebra due to osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
311891006#,Collapse of thoracic vertebra due to osteoporosis (disorder),455535019#,Collapse of thoracic vertebra due to osteoporosis,N331K,N331K00,455535019#,NA,32
240198002#,Collapse of vertebra due to osteoporosis,359833013#,Osteoporotic vertebral collapse,N331-4,N331.14,359833013#,NA,32
240198002#,Collapse of vertebra due to osteoporosis,455536018#,Collapse of vertebra due to osteoporosis,N331L,N331L00,2920899019#,NA,32
311892004#,Collapse of vertebra due to osteoporosis NOS,NA#,NA,NA,NA,NA#,NA,NA
203462004#,Collapse of vertebra due to osteoporosis NOS (disorder),NA#,NA,NA,NA,NA#,NA,NA
82351006#,Congenital cranial osteoporosis,680781000006110#,Neonatal 'craniotabes',Q48y4-1,Q48y411,136601011#,NA,32
82351006#,Congenital cranial osteoporosis,3839741000006115#,Congenital cranial osteoporosis,^ESCTCO383974,NA,2536476011#,NA,32
82351006#,Congenital cranial osteoporosis,3839731000006113#,Craniotabes,^ESCTCR383973,NA,136601011#,NA,32
203430002#,Disuse osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
203491001#,Disuse osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
53174001#,Disuse osteoporosis,3362291000006115#,Disuse osteoporosis,^ESCTDI336229,NA,88440018#,NA,32
53174001#,Disuse osteoporosis,625381000006110#,Dissuse osteoporosis,N3304,N330400,88440018#,NA,32
53174001#,Disuse osteoporosis,496578010#,Disuse atrophy of bone,N3370,N337000,496578010#,NA,32
783620009#,Dominant hypophosphatemia with nephrolithiasis and/or osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
203432005#,Drug-induced osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
14651005#,Drug-induced osteoporosis (disorder),24883018#,Drug-induced osteoporosis,N3305,N330500,24883018#,NA,5
203447001#,Drug-induced osteoporosis with pathological fracture,312159013#,Drug-induced osteoporosis with pathological fracture,N3315,N331500,312159013#,NA,5
278454001#,Fetal osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
78354004#,Fetal osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
391019001#,Follow-up osteoporosis assessment,1485048012#,Follow-up osteoporosis assessment,66a1,66a1.00,1485048012#,NA,1
134400000#,Fragility fracture due to unspecified osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
366913005#,Fragility fracture due to unspecified osteoporosis (disorder),NA#,NA,NA,NA,NA#,NA,NA
394010001#,Health education - osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
393054003#,Health education - osteoporosis (procedure),NA#,NA,NA,NA,NA#,NA,NA
473120007#,History of osteoporosis,1137811000000114#,History of osteoporosis,14GB,14GB.00,2955852014#,NA,32
203429007#,Idiopathic generalized osteoporosis (disorder),4820801000006119#,Idiopathic generalized osteoporosis,^ESCTID482080,NA,312125014#,NA,32
203429007#,Idiopathic generalized osteoporosis (disorder),786501000006117#,Idiopathic generalised osteoporosis,N3303,N330300,312126010#,NA,32
3345002#,Idiopathic osteoporosis,2552271000006117#,Idiopathic osteoporosis,^ESCTID255227,NA,6641011#,NA,31
240154002#,Idiopathic osteoporosis in pregnancy (disorder),5144151000006116#,Idiopathic osteoporosis in pregnancy,^ESCTID514415,NA,359780011#,NA,31
203448006#,Idiopathic osteoporosis with pathological fracture (disorder),312160015#,Idiopathic osteoporosis with pathological fracture,N3316,N331600,312160015#,NA,32
240156000#,Juvenile idiopathic generalized osteoporosis (disorder),5144181000006112#,Juvenile idiopathic generalised osteoporosis,^ESCTJU514418,NA,359784019#,NA,31
240156000#,Juvenile idiopathic generalized osteoporosis (disorder),5144191000006110#,Juvenile idiopathic generalized osteoporosis,^ESCTJU514419,NA,359783013#,NA,31
44876001#,Juvenile osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
268028001#,Localised disuse osteoporosis,5502971000006118#,Localized disuse osteoporosis,^ESCTLO550297,NA,400337016#,NA,31
268028001#,Localised disuse osteoporosis,5502961000006113#,Localised disuse osteoporosis,^ESCTLO550296,NA,400336013#,NA,31
203435007#,Localized osteoporosis - Lequesne (disorder),4820851000006115#,Localized osteoporosis - Lequesne,^ESCTLO482085,NA,312136019#,NA,32
203435007#,Localized osteoporosis - Lequesne (disorder),312136019#,Localised osteoporosis - Lequesne,N3308,N330800,312135015#,NA,32
32369003#,Menopausal osteoporosis (disorder),3021401000006110#,Type 1 osteoporosis,^ESCTTY302140,NA,485200014#,NA,32
32369003#,Menopausal osteoporosis (disorder),3021391000006113#,Type I osteoporosis,^ESCTTY302139,NA,485199011#,NA,32
32369003#,Menopausal osteoporosis (disorder),3021381000006110#,Menopausal osteoporosis,^ESCTME302138,NA,54057013#,NA,31
156825006#,Osteoporosis,NA#,NA,NA,NA,NA#,NA,NA
391030003#,Osteoporosis - no treatment response (regime/therapy),1485059015#,Osteoporosis - no treatment response,66aB,66aB.00,1485059015#,NA,1
