snomedcode,term_snomed
310505005#,HHS - Hyperosmolar hyperglycaemic syndrome
420422005#,Diabetic ketoacidosis
190406000#,Ketoacidosis due to malnutrition related diabetes mellitus (disorder)
420270002#,Ketoacidosis due to type 1 diabetes mellitus (disorder)
421075007#,Ketoacidotic coma due to type 1 diabetes mellitus (disorder)
421750000#,Ketoacidosis due to type 2 diabetes mellitus (disorder)
421847006#,Ketoacidotic coma due to type 2 diabetes mellitus (disorder)
111556005#,Ketoacidosis without coma due to diabetes mellitus (disorder)
26298008#,Ketoacidotic coma due to diabetes mellitus (disorder)
735537007#,Hyperosmolar hyperglycemic coma due to diabetes mellitus without ketoacidosis
422126006#,Hyperosmolar coma due to diabetes mellitus (disorder)
395204000#,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder)
441656006#,Hyperglycemic crisis due to diabetes mellitus (disorder)
368601000119102#,Hyperosmolar coma due to secondary diabetes mellitus (disorder)
367241000119104#,Hyperosmolar coma due to drug induced diabetes mellitus (disorder)
190330002#,Hyperosmolar coma due to type 1 diabetes mellitus (disorder)
190331003#,Hyperosmolar coma due to type 2 diabetes mellitus (disorder)
421966007#,Non-ketotic non-hyperosmolar coma due to diabetes mellitus (disorder)
