Code,Description
279981003#,Peripheral neuropathic pain (finding)
762603007#,Chronic peripheral neuropathic pain (finding)
944141000000108#,Diabetic peripheral neuropathic pain (finding)
193184006#,Chronic painful neuropathy due to diabetes mellitus (disorder)
193183000#,Acute painful neuropathy due to diabetes mellitus (disorder)
154686005#,Acute painful diabetic neuropathy
230574001#,Diabetic acute painful polyneuropathy
230575000#,Diabetic chronic painful polyneuropathy
773001000000103#,Symptomatic diabetic peripheral neuropathy (disorder)
762595001#,Chronic painful polyneuropathy following chemotherapy
