"Code","Term","Type: SNOMED-CT","Version: 6","Last Modified: 20/09/2024","VarName:  _learning","Source: https://www.qresearch.org/qcode-group-library/"
"10007009","Coffin-Siris syndrome (disorder)"
"1003368009","Molybdenum cofactor deficiency complementation group B (disorder)"
"1003373003","Microcephaly with simplified gyral pattern (disorder)"
"1003374009","Microlissencephaly (disorder)"
"1003387003","Molybdenum cofactor deficiency complementation group C (disorder)"
"1003389000","Mosaic 1q duplication (disorder)"
"1003409002","Maternal 15q11q13 deletion (disorder)"
"1010630006","X-linked complicated corpus callosum dysgenesis (disorder)"
"1089701000000105","Profound intellectual development disorder without impairment of behaviour (disorder)"
"1089711000000107","Profound intellectual development disorder with significant impairment of behaviour (disorder)"
"1089721000000101","Profound intellectual development disorder with minimal impairment of behaviour (disorder)"
"1089731000000104","Profound intellectual development disorder with impairment of behaviour (disorder)"
"1089741000000108","Severe intellectual development disorder without significant impairment of behaviour (disorder)"
"1089751000000106","Severe intellectual development disorder with significant impairment of behaviour (disorder)"
"1089761000000109","Severe intellectual development disorder with minimal impairment of behaviour (disorder)"
"1089771000000102","Severe intellectual development disorder with impairment of behaviour (disorder)"
"1089781000000100","Moderate intellectual development disorder without significant impairment of behaviour (disorder)"
"1089791000000103","Moderate intellectual development disorder with significant impairment of behaviour (disorder)"
"1089811000000102","Moderate intellectual development disorder with minimal impairment of behaviour (disorder)"
"1089821000000108","Moderate intellectual development disorder with impairment of behaviour (disorder)"
"1089831000000105","Mild intellectual development disorder without significant impairment of behaviour (disorder)"
"1089841000000101","Mild intellectual development disorder with significant impairment of behaviour (disorder)"
"1089851000000103","Mild intellectual development disorder with minimal impairment of behaviour (disorder)"
"1093991000000101","Mild intellectual development disorder with impairment of behaviour (disorder)"
"1094001000000106","Intellectual development disorder without significant impairment of behaviour (disorder)"
"1094011000000108","Intellectual development disorder with significant impairment of behaviour (disorder)"
"1094021000000102","Intellectual development disorder with minimal impairment of behaviour (disorder)"
"1094031000000100","Intellectual development disorder with impairment of behaviour (disorder)"
"109478007","Amelocerebrohypohidrotic syndrome (disorder)"
"110359009","Intellectual disability (disorder)"
"1156584007","X-linked intellectual disability hypotonic face syndrome (disorder)"
"1229872004","Xq25 microduplication syndrome (disorder)"
"1229883008","19p13.3 microduplication syndrome (disorder)"
"1239331000000100","Significant intellectual disability (disorder)"
"134188003","Statement of special educational needs (record artifact)"
"138437002","Child with special educational needs (finding)"
"15182000","Coffin-Lowry syndrome (disorder)"
"152241001","Provision of special educational needs nursery (procedure)"
"154973004","Learning disability (disorder)"
"154974005","Learning disability (disorder)"
"161166007","Child with special educational needs (finding)"
"17122004","4p partial monosomy syndrome (disorder)"
"17827007","Cross syndrome (disorder)"
"1823961000006109","Learning disability confirmed (situation)"
"1840501000006106","Special educational needs - moderate learning difficulties (finding)"
"1872711000006100","Special educational need type (finding)"
"1872721000006108","Special education needs - specific learning disability (finding)"
"192531005","Learning disability (disorder)"
"205619006","Trisomy 13, meiotic nondisjunction (disorder)"
"205620000","Trisomy 13 - mitotic nondisjunction mosaicism (disorder)"
"205623003","Trisomy 18 - meiotic nondisjunction (disorder)"
"205624009","Trisomy 18 - mitotic nondisjunction mosaicism (disorder)"
"205646001","Whole chromosome trisomy syndrome (disorder)"
"205647005","Trisomy 6 (disorder)"
"205648000","Trisomy 7 (disorder)"
"205649008","Trisomy 8 (disorder)"
"205650008","Trisomy 9 (disorder)"
"205651007","Trisomy 10 (disorder)"
