ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
1904841000033117	10072211000001108	Temodal 5mg capsules (Merck Sharp & Dohme Ltd)	Temodal 5mg capsules	Capsule	Oral	Temozolomide	5.000mg	8010500	NA
3870641000033115	10246911000001106	Oxaliplatin 50mg/10ml solution for infusion vials	Oxaliplatin 50mg/10ml solution for infusion vials	Solution for infusion	Intravenous	Oxaliplatin	5.000mg/1.000ml	NA	NA
3870841000033119	10247111000001106	Eloxatin 50mg/10ml concentrate for solution for infusion vials (Sanofi)	Eloxatin 50mg/10ml concentrate for solution for infusion vials	Solution for infusion	Intravenous	Oxaliplatin	5.000mg/1.000ml	NA	NA
3870741000033112	10247311000001108	Oxaliplatin 100mg/20ml solution for infusion vials	Oxaliplatin 100mg/20ml solution for infusion vials	Solution for infusion	Intravenous	Oxaliplatin	5.000mg/1.000ml	NA	NA
3870941000033110	10247511000001102	Eloxatin 100mg/20ml concentrate for solution for infusion vials (Sanofi)	Eloxatin 100mg/20ml concentrate for solution for infusion vials	Solution for infusion	Intravenous	Oxaliplatin	5.000mg/1.000ml	NA	NA
4522441000033116	10354511000001104	Antithymocyte immunoglobulin (rabbit) 25mg powder and solvent for solution for infusion vials	Antithymocyte immunoglobulin (rabbit) 25mg powder and solvent for solution for infusion vials	Powder and solvent for solution for infusion	Intravenous	Antithymocyte immunoglobulin (rabbit)	25.000mg	8020200	NA
4522541000033115	10354711000001109	Thymoglobuline 25mg powder and solvent for solution for infusion vials (Sanofi)	Thymoglobuline 25mg powder and solvent for solution for infusion vials	Powder and solvent for solution for infusion	Intravenous	Antithymocyte immunoglobulin (rabbit)	25.000mg	8020200	NA
4156541000033114	10448111000001108	Cladribine 10mg/5ml solution for injection vials	Cladribine 10mg/5ml solution for injection vials	Solution for injection	Intravenous/ Subcutaneous	Cladribine	2.000mg/1.000ml	8010300	NA
4156641000033110	10448311000001105	Litak 10mg/5ml solution for injection vials (Lipomed GmbH)	Litak 10mg/5ml solution for injection vials	Solution for injection	NA	Cladribine	2.000mg/1.000ml	8010300	NA
8838441000033117	10620211000001100	Doxorubin 50mg powder for solution for injection vials (medac UK)	Doxorubin 50mg powder for solution for injection vials	Powder for solution for injection	Intravenous	Doxorubicin hydrochloride	50.000mg	NA	NA
3944241000033118	10626311000001106	Tysabri 300mg/15ml concentrate for solution for infusion vials (Biogen Idec Ltd)	Tysabri 300mg/15ml concentrate for solution for infusion vials	Solution for infusion	Intravenous	Natalizumab	20.000mg/1.000ml	8020400	NA
3870141000033113	10672611000001103	Metoject 7.5mg/0.75ml solution for injection pre-filled syringes (medac UK)	Metoject 7.5mg/0.75ml solution for injection pre-filled syringes	Solution for injection	Intravenous/ Subcutaneous/ Intramuscular	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3870241000033118	10672911000001109	Metoject 10mg/1ml solution for injection pre-filled syringes (medac UK)	Metoject 10mg/1ml solution for injection pre-filled syringes	Solution for injection	Intravenous/ Intramuscular/ Subcutaneous	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3870341000033111	10673211000001106	Metoject 15mg/1.5ml solution for injection pre-filled syringes (medac UK)	Metoject 15mg/1.5ml solution for injection pre-filled syringes	Solution for injection	Intravenous/ Subcutaneous/ Intramuscular	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3870441000033117	10673511000001109	Metoject 20mg/2ml solution for injection pre-filled syringes (medac UK)	Metoject 20mg/2ml solution for injection pre-filled syringes	Solution for injection	Intravenous/ Subcutaneous/ Intramuscular	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3870541000033116	10674011000001104	Metoject 25mg/2.5ml solution for injection pre-filled syringes (medac UK)	Metoject 25mg/2.5ml solution for injection pre-filled syringes	Solution for injection	Subcutaneous/ Intramuscular/ Intravenous	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3869741000033110	10675611000001107	Methotrexate 10mg/1ml solution for injection pre-filled syringes	Methotrexate 10mg/1ml solution for injection pre-filled syringes	Solution for injection	Intramuscular/ Subcutaneous/ Intravenous	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3869841000033117	10675711000001103	Methotrexate 15mg/1.5ml solution for injection pre-filled syringes	Methotrexate 15mg/1.5ml solution for injection pre-filled syringes	Solution for injection	Subcutaneous/ Intramuscular/ Intravenous	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3869941000033113	10675811000001106	Methotrexate 20mg/2ml solution for injection pre-filled syringes	Methotrexate 20mg/2ml solution for injection pre-filled syringes	Solution for injection	Intramuscular/ Intravenous/ Subcutaneous	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3870041000033114	10675911000001101	Methotrexate 25mg/2.5ml solution for injection pre-filled syringes	Methotrexate 25mg/2.5ml solution for injection pre-filled syringes	Solution for injection	Intramuscular/ Subcutaneous/ Intravenous	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3869641000033118	10676011000001109	Methotrexate 7.5mg/0.75ml solution for injection pre-filled syringes	Methotrexate 7.5mg/0.75ml solution for injection pre-filled syringes	Solution for injection	Subcutaneous/ Intravenous/ Intramuscular	Methotrexate sodium	10.000mg/1.000ml	10010300	NA
3944041000033114	10685111000001105	Nexavar 200mg tablets (Bayer Plc)	Nexavar 200mg tablets	Tablet	Oral	Sorafenib tosylate	200.000mg	8010500	NA
3952941000033115	10685411000001100	Evoltra 20mg/20ml concentrate for solution for infusion vials (Sanofi)	Evoltra 20mg/20ml concentrate for solution for infusion vials	Solution for infusion	Intravenous	Clofarabine	1.000mg/1.000ml	8010300	NA
3952841000033111	10688011000001101	Clofarabine 20mg/20ml solution for infusion vials	Clofarabine 20mg/20ml solution for infusion vials	Solution for infusion	Intravenous	Clofarabine	1.000mg/1.000ml	8010300	NA
3950241000033113	10816811000001103	Sutent 50mg capsules (Pfizer Ltd)	Sutent 50mg capsules	Capsule	Oral	Sunitinib malate	50.000mg	8010500	NA
3950141000033118	10817111000001108	Sutent 25mg capsules (Pfizer Ltd)	Sutent 25mg capsules	Capsule	Oral	Sunitinib malate	25.000mg	8010500	NA
3950041000033117	10817411000001103	Sutent 12.5mg capsules (Pfizer Ltd)	Sutent 12.5mg capsules	Capsule	Oral	Sunitinib malate	12.500mg	8010500	NA
3997641000033116	10919611000001103	Epirubicin 100mg/50ml solution for infusion vials	Epirubicin 100mg/50ml solution for infusion vials	Solution for infusion	Intravesical/ Intravenous	Epirubicin hydrochloride	2.000mg/1.000ml	NA	NA
3996041000033113	10967711000001103	Enbrel 50mg/1ml solution for injection pre-filled syringes (Pfizer Ltd)	Enbrel 50mg/1ml solution for injection pre-filled syringes	Solution for injection	Subcutaneous	Etanercept	50.000mg/1.000ml	NA	NA
4011441000033117	10969111000001105	Eloxatin 200mg/40ml concentrate for solution for infusion vials (Sanofi)	Eloxatin 200mg/40ml concentrate for solution for infusion vials	Solution for infusion	Intravenous	Oxaliplatin	5.000mg/1.000ml	NA	NA
3995941000033115	10970211000001102	Etanercept 50mg/1ml solution for injection pre-filled syringes	Etanercept 50mg/1ml solution for injection pre-filled syringes	Solution for injection	Subcutaneous	Etanercept	50.000mg/1.000ml	10010300	NA
4011541000033116	10970711000001109	Oxaliplatin 200mg/40ml solution for infusion vials	Oxaliplatin 200mg/40ml solution for infusion vials	Solution for infusion	Intravenous	Oxaliplatin	5.000mg/1.000ml	NA	NA
3994541000033110	10985011000001105	Sprycel 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Sprycel 20mg tablets	Tablet	Oral	Dasatinib monohydrate	20.000mg	8010500	NA
3994641000033111	10985511000001102	Sprycel 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Sprycel 50mg tablets	Tablet	Oral	Dasatinib monohydrate	50.000mg	8010500	NA
3994741000033119	10985811000001104	Sprycel 70mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Sprycel 70mg tablets	Tablet	Oral	Dasatinib monohydrate	70.000mg	8010500	NA
3996141000033112	11023211000001107	Enbrel Paediatric 25mg powder and solvent for solution for injection vials (Pfizer Ltd)	Enbrel Paediatric 25mg powder and solvent for solution for injection vials	Powder and solvent for solution for injection	Subcutaneous	Etanercept	25.000mg	NA	NA
4012541000033114	11033511000001108	Enbrel 25mg/0.5ml solution for injection pre-filled syringes (Pfizer Ltd)	Enbrel 25mg/0.5ml solution for injection pre-filled syringes	Solution for injection	Subcutaneous	Etanercept	50.000mg/1.000ml	NA	NA
4012441000033113	11034511000001106	Etanercept 25mg/0.5ml solution for injection pre-filled syringes	Etanercept 25mg/0.5ml solution for injection pre-filled syringes	Solution for injection	Subcutaneous	Etanercept	50.000mg/1.000ml	10010300	NA
4042641000033119	11188011000001105	Humira 40mg/0.8ml solution for injection pre-filled pens (AbbVie Ltd)	Humira 40mg/0.8ml solution for injection pre-filled pens	Solution for injection	Subcutaneous	Adalimumab	50.000mg/1.000ml	NA	NA
4042541000033115	11236911000001103	Adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices	Adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices	Solution for injection	Subcutaneous	Adalimumab	50.000mg/1.000ml	NA	NA
4148941000033117	11494311000001100	Cetuximab 100mg/20ml solution for infusion vials	Cetuximab 100mg/20ml solution for infusion vials	Solution for infusion	Intravenous	Cetuximab	5.000mg/1.000ml	NA	NA
4149041000033114	11494411000001107	Cetuximab 500mg/100ml solution for infusion vials	Cetuximab 500mg/100ml solution for infusion vials	Solution for infusion	Intravenous	Cetuximab	5.000mg/1.000ml	NA	NA
