ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter
59141000033113	908511000001100	Amias 16mg tablets (Neon Healthcare Ltd)	Amias 16mg tablets	Tablet/ Oral Tablet	Oral	Candesartan cilexetil	16.000mg	NA
59241000033118	97311000001103	Amias 2mg tablets (Neon Healthcare Ltd)	Amias 2mg tablets	Tablet/ Oral Tablet	Oral	Candesartan cilexetil	2.000mg	NA
59341000033111	857411000001100	Amias 4mg tablets (Neon Healthcare Ltd)	Amias 4mg tablets	Tablet/ Oral Tablet	Oral	Candesartan cilexetil	4.000mg	NA
59441000033117	36011000001106	Amias 8mg tablets (Neon Healthcare Ltd)	Amias 8mg tablets	Tablet/ Oral Tablet	Oral	Candesartan cilexetil	8.000mg	NA
75941000033114	859711000001103	Aprovel 150mg tablets (Sanofi)	Aprovel 150mg tablets	Tablet/ Oral Tablet	Oral	Irbesartan	150.000mg	NA
76041000033116	323211000001107	Aprovel 300mg tablets (Sanofi)	Aprovel 300mg tablets	Tablet/ Oral Tablet	Oral	Irbesartan	300.000mg	NA
76141000033117	434511000001104	Aprovel 75mg tablets (Sanofi)	Aprovel 75mg tablets	Tablet/ Oral Tablet	Oral	Irbesartan	75.000mg	NA
370441000033112	266511000001104	Cozaar 25mg tablets (Organon Pharma (UK) Ltd)	Cozaar 25mg tablets	Tablet/ Oral Tablet	Oral	Losartan potassium	25.000mg	NA
370541000033113	53611000001106	Cozaar 50mg tablets (Organon Pharma (UK) Ltd)	Cozaar 50mg tablets	Tablet/ Oral Tablet	Oral	Losartan potassium	50.000mg	NA
370841000033110	255911000001105	Cozaar-Comp 50mg/12.5mg tablets (Organon Pharma (UK) Ltd)	Cozaar-Comp 50mg/12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Losartan potassium	12.500mg + 50.000mg	NA
437641000033118	117011000001107	Diovan 160mg capsules (Novartis Pharmaceuticals UK Ltd)	Diovan 160mg capsules	Capsule/ Oral capsule	Oral	Valsartan	160.000mg	NA
437741000033110	777611000001101	Diovan 40mg capsules (Novartis Pharmaceuticals UK Ltd)	Diovan 40mg capsules	Capsule/ Oral capsule	Oral	Valsartan	40.000mg	NA
437841000033117	554511000001105	Diovan 80mg capsules (Novartis Pharmaceuticals UK Ltd)	Diovan 80mg capsules	Capsule/ Oral capsule	Oral	Valsartan	80.000mg	NA
1849741000033114	924911000001106	Micardis 40mg tablets (Boehringer Ingelheim Ltd)	Micardis 40mg tablets	Tablet/ Oral Tablet	Oral	Telmisartan	40.000mg	NA
1849841000033116	527411000001102	Micardis 80mg tablets (Boehringer Ingelheim Ltd)	Micardis 80mg tablets	Tablet/ Oral Tablet	Oral	Telmisartan	80.000mg	NA
2040841000033113	401211000001105	Teveten 300mg tablets (Viatris UK Healthcare Ltd)	Teveten 300mg tablets	Tablet/ Oral Tablet	Oral	Eprosartan mesilate	300.000mg	NA
2040941000033117	151411000001103	Teveten 400mg tablets (Abbott Healthcare Products Ltd)	Teveten 400mg tablets	Tablet/ Oral Tablet	Oral	Eprosartan mesilate	400.000mg	NA
