ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release	INS	TZD	SU	DPP4	MFN	GLP1	Glinide	Acarbose	SGLT2
10042541000033117	NA	Exenatide Prolonged release suspension for injection 2 mg device	Exenatide Prolonged release suspension for injection 2 mg device	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	0	0
10042641000033116	NA	Bydureon Prolonged release suspension for injection 2 mg pen	Bydureon Prolonged release suspension for injection 2 mg pen	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	0	0
10043341000033116	28420711000001107	Vamju 30mg modified-release tablets (Advanz Pharma)	Vamju 30mg modified-release tablets	Modified-release tablet	Oral	Gliclazide	30.000mg	NA	NA	0	0	1	0	0	0	0	0	0
10043441000033110	28420911000001109	Vamju 60mg modified-release tablets (Advanz Pharma)	Vamju 60mg modified-release tablets	Modified-release tablet	Oral	Gliclazide	60.000mg	NA	NA	0	0	1	0	0	0	0	0	0
10044541000033113	28279611000001109	Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices	Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin degludec/ Liraglutide	100.000unit/1.000ml + 3.600mg/1.000ml	6010203	NA	0	0	0	0	0	1	0	0	0
10044641000033114	28054311000001106	Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin degludec/ Liraglutide	100.000unit/1.000ml + 3.600mg/1.000ml	6010203	NA	1	0	0	0	0	1	0	0	0
1017141000033110	NA	Orabet Tablets 500 mg	Orabet Tablets 500 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
1017241000033115	NA	Orabet Tablets 850 mg	Orabet Tablets 850 mg	NA	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0
10207841000033118	28789611000001108	Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices	Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices	Solution for injection	Subcutaneous	Dulaglutide	1.500mg/1.000ml	6010203	NA	0	0	0	0	0	1	0	0	0
10207941000033114	28789711000001104	Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices	Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices	Solution for injection	Subcutaneous	Dulaglutide	3.000mg/1.000ml	6010203	NA	0	0	0	0	0	1	0	0	0
10208041000033112	28461011000001109	Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)	Trulicity 0.75mg/0.5ml solution for injection pre-filled pens	Solution for injection	Subcutaneous	Dulaglutide	1.500mg/1.000ml	6010203	NA	0	0	0	0	0	1	0	0	0
10208141000033111	28462311000001103	Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)	Trulicity 1.5mg/0.5ml solution for injection pre-filled pens	Solution for injection	Subcutaneous	Dulaglutide	3.000mg/1.000ml	6010203	NA	0	0	0	0	0	1	0	0	0
10251341000033112	28940811000001104	Glidipion 15mg tablets (Actavis UK Ltd)	Glidipion 15mg tablets	Tablet	Oral	Pioglitazone hydrochloride	15.000mg	NA	NA	0	1	0	0	0	0	0	0	0
