ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
120641000033116	NA	Bd-Microfine + Disposable syringe 0.5 ml	NA	NA	NA	NA	NA	NA	NA
120841000033115	NA	Bd-Microfine + Disposable syringe 0.3 ml	NA	NA	NA	NA	NA	NA	NA
445041000033119	NA	Disposable Insulin syringe with needle 1 ml	NA	NA	NA	NA	NA	NA	NA
758341000033117	NA	Insulin Syringe Click-count 1 ml	NA	NA	NA	NA	NA	NA	NA
766841000033116	NA	Insulin Syringe Re-usable 1 ml	NA	NA	NA	NA	NA	NA	NA
1240741000033113	NA	Sabre Disposable Insulin syringe 0.5 ml	NA	NA	NA	NA	NA	NA	NA
1480741000033119	NA	U100 Insulin Sterile, Single Use Syringes with 12mm needle 0.3 ml, 0.4 mm/27g	NA	NA	NA	NA	NA	NA	NA
1862141000033112	NA	Insulin Aspart Prefilled syringes 100 units/ml	NA	NA	NA	NA	NA	NA	NA
2527941000033118	NA	Penfine Needles for insulin pens 31g, 8 mm	NA	NA	NA	NA	NA	NA	NA
3111341000033119	NA	U100 Insulin Sterile, Single Use Syringes with 8mm needles 0.5 ml, 0.33 mm/29g	NA	NA	NA	NA	NA	NA	NA
3852841000033117	NA	Comfort Point Needles for insulin pens 8 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
10259941000033112	NA	Comfort Point Needles for insulin pens 5 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
11078641000033111	NA	Carepoint Needles for insulin pens 6 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
11078741000033119	NA	Carepoint Needles for insulin pens 8 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
741441000033115	NA	Hypodermic Insulin Syringe	NA	NA	NA	NA	NA	NA	NA
758541000033112	NA	Insulin Syringe Disposable 1 ml	NA	NA	NA	NA	NA	NA	NA
766741000033114	NA	Insulin Syringe Re-usable 0.5 ml	NA	NA	NA	NA	NA	NA	NA
983341000033112	NA	Novofine Needles	NA	NA	NA	NA	NA	NA	NA
1240841000033115	NA	Sabre Disposable Insulin syringe 1 ml	NA	NA	NA	NA	NA	NA	NA
266641000033113	NA	Clinipak Disposable insulin syringe with needle 0.5 ml, 30g	NA	NA	NA	NA	NA	NA	NA
6490641000033114	NA	Comfort Point Needles for insulin pens 4 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
7685141000033112	NA	Clickfine Needles for insulin pens 12 mm/29 gauge	NA	NA	NA	NA	NA	NA	NA
11078541000033110	NA	Carepoint Needles for insulin pens 5 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
8052241000033116	NA	Droplet Needles for insulin pens 8 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
12541241000033115	NA	U100 Insulin Sterile, Single Use Syringes with 12mm needle 0.3 ml, 0.3 mm/30g	NA	NA	NA	NA	NA	NA	NA
11813541000033114	NA	Microdot Verifine Safety Needles for insulin pens 5 mm/30 gauge	NA	NA	NA	NA	NA	NA	NA
11078441000033114	NA	Carepoint Needles for insulin pens 4 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
8051941000033118	NA	Droplet Needles for insulin pens 6 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
1481241000033118	NA	U100 Insulin Sterile, Single Use Syringes with 12mm needle 0.5 ml, 0.45 mm/26g	NA	NA	NA	NA	NA	NA	NA
1577641000033113	NA	Bd-Microfine + Needles 8 mm/30g	NA	NA	NA	NA	NA	NA	NA
444941000033119	NA	Disposable Insulin syringe with needle 0.5 ml	NA	NA	NA	NA	NA	NA	NA
766241000033115	NA	Insulin Syringe Pre-set 1 ml	NA	NA	NA	NA	NA	NA	NA
7684941000033113	NA	Clickfine Needles for insulin pens 8 mm/31 gauge	NA	NA	NA	NA	NA	NA	NA
3111141000033117	NA	U100 Insulin Sterile, Single Use Syringes with 8mm needles 1 ml, 0.33 mm/29g	NA	NA	NA	NA	NA	NA	NA
