ProdCodeId	dmdid	TermFromEMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter
162041000033118	312411000001108	Brevinor 500microgram/35microgram tablets (Pfizer Ltd)	Brevinor 500microgram/35microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Norethisterone	35.000microgram + 500.000microgram	NA
260341000033119	380211000001105	Cilest 35microgram/250microgram tablets (Janssen-Cilag Ltd)	Cilest 35microgram/250microgram tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Norgestimate	35.000microgram + 250.000microgram	NA
285441000033116	3040311000001103	Climesse tablets (Novartis Pharmaceuticals UK Ltd)	Climesse tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate/ Norethisterone	2.000mg + 700.000microgram	NA
287741000033116	2845811000001107	Climaval 1mg tablets (Novartis Pharmaceuticals UK Ltd)	Climaval 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	1.000mg	NA
287841000033114	2845111000001100	Climaval 2mg tablets (Novartis Pharmaceuticals UK Ltd)	Climaval 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol valerate	2.000mg	NA
316441000033116	41895111000001109	Conjugated oestrogens 625micrograms/g vaginal cream	Conjugated oestrogens 625micrograms/g vaginal cream	Cream/ Vaginal cream	Vaginal/ Cutaneous	Conjugated oestrogens	625.000microgram/1.000gram	07020100
374341000033111	41873011000001101	Conjugated oestrogens 1.25mg tablets	Conjugated oestrogens 1.25mg tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens	1.250mg	06040101
374441000033117	41873411000001105	Conjugated oestrogens 625microgram tablets	Conjugated oestrogens 625microgram tablets	Tablet/ Oral Tablet	Oral	Conjugated oestrogens	625.000microgram	06040101
432341000033111	2938211000001106	Dermestril 100 patches (Kyowa Kirin Ltd)	Dermestril 100 patches	Transdermal patch	Transdermal	Estradiol	100.000microgram/24.000hour	NA
432441000033117	2889911000001105	Dermestril 25 patches (Kyowa Kirin Ltd)	Dermestril 25 patches	Transdermal patch	Transdermal	Estradiol	25.000microgram/24.000hour	NA
432541000033116	2947611000001105	Dermestril 50 patches (Kyowa Kirin Ltd)	Dermestril 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
470941000033111	587711000001100	Dianette tablets (Bayer Plc)	Dianette tablets	Tablet/ Oral Tablet	Oral	Cyproterone acetate/ Ethinylestradiol	2.000mg + 35.000microgram	NA
508041000033110	2841811000001109	Elleste Solo 1mg tablets (Viatris UK Healthcare Ltd)	Elleste Solo 1mg tablets	Tablet/ Oral Tablet	Oral	Estradiol	1.000mg	NA
508141000033114	2837211000001104	Elleste Solo 2mg tablets (Viatris UK Healthcare Ltd)	Elleste Solo 2mg tablets	Tablet/ Oral Tablet	Oral	Estradiol	2.000mg	NA
508441000033118	3049511000001101	Elleste Duet Conti tablets (Viatris UK Healthcare Ltd)	Elleste Duet Conti tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	NA
509141000033115	2890211000001107	Elleste Solo MX 40 transdermal patches (Viatris UK Healthcare Ltd)	Elleste Solo MX 40 transdermal patches	Transdermal patch	Transdermal	Estradiol	40.000microgram/24.000hour	NA
509241000033110	2893411000001103	Elleste Solo MX 80 transdermal patches (Viatris UK Healthcare Ltd)	Elleste Solo MX 80 transdermal patches	Transdermal patch	Transdermal	Estradiol	80.000microgram/24.000hour	NA
545241000033118	2936611000001107	Estraderm TTS 100 patches (Novartis Pharmaceuticals UK Ltd)	Estraderm TTS 100 patches	Transdermal patch	Transdermal	Estradiol	100.000microgram/24.000hour	NA
545341000033111	2889311000001109	Estraderm TTS 25 patches (Novartis Pharmaceuticals UK Ltd)	Estraderm TTS 25 patches	Transdermal patch	Transdermal	Estradiol	25.000microgram/24.000hour	NA
545441000033117	2942911000001101	Estraderm TTS 50 patches (Novartis Pharmaceuticals UK Ltd)	Estraderm TTS 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
546541000033110	2937111000001101	Estraderm MX 100 patches (Norgine Pharmaceuticals Ltd)	Estraderm MX 100 patches	Transdermal patch	Transdermal	Estradiol	100.000microgram/24.000hour	NA
546641000033111	2889611000001104	Estraderm MX 25 patches (Norgine Pharmaceuticals Ltd)	Estraderm MX 25 patches	Transdermal patch	Transdermal	Estradiol	25.000microgram/24.000hour	NA
546741000033119	2945011000001105	Estraderm MX 50 patches (Norgine Pharmaceuticals Ltd)	Estraderm MX 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
546841000033112	24576311000001100	Estring 7.5micrograms/24hours vaginal delivery system (Pfizer Ltd)	Estring 7.5micrograms/24hours vaginal delivery system	Vaginal delivery system/	Vaginal	Estradiol hemihydrate	7.500microgram/24.000hour	NA
556741000033116	769711000001106	Eugynon 30 tablets (Schering Health Care Ltd)	Eugynon 30 tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Levonorgestrel	30.000microgram + 250.000microgram	NA
556841000033114	4546611000001106	Eugynon 50 tablets (Schering Health Care Ltd)	Eugynon 50 tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Levonorgestrel	50.000microgram + 250.000microgram	NA
558541000033111	2942311000001102	Evorel 50 patches (Theramex HQ UK Ltd)	Evorel 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
558641000033112	2936011000001100	Evorel 100 patches (Theramex HQ UK Ltd)	Evorel 100 patches	Transdermal patch	Transdermal	Estradiol	100.000microgram/24.000hour	NA
558741000033115	2889111000001107	Evorel 25 patches (Theramex HQ UK Ltd)	Evorel 25 patches	Transdermal patch	Transdermal	Estradiol	25.000microgram/24.000hour	NA
558841000033113	2903111000001101	Evorel 75 patches (Theramex HQ UK Ltd)	Evorel 75 patches	Transdermal patch	Transdermal	Estradiol	75.000microgram/24.000hour	NA
559041000033114	3216611000001107	Evorel Conti patches (Theramex HQ UK Ltd)	Evorel Conti patches	Transdermal patch	Transdermal	Estradiol/ Norethisterone acetate	50.000microgram/24.000hour + 170.000microgram/24.000hour	NA
574741000033110	3048811000001105	Femodene tablets (Bayer Plc)	Femodene tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Gestodene	30.000microgram + 75.000microgram	NA
575341000033110	2893711000001109	Fematrix 80 patches (Abbott Healthcare Products Ltd)	Fematrix 80 patches	Transdermal patch	Transdermal	Estradiol	80.000microgram/24.000hour	NA
575441000033116	2948411000001106	FemSeven 50 patches (Theramex HQ UK Ltd)	FemSeven 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
575541000033115	2890411000001106	Fematrix 40 patches (Abbott Healthcare Products Ltd)	Fematrix 40 patches	Transdermal patch	Transdermal	Estradiol	40.000microgram/24.000hour	NA
575641000033119	2938411000001105	FemSeven 100 patches (Theramex HQ UK Ltd)	FemSeven 100 patches	Transdermal patch	Transdermal	Estradiol	100.000microgram/24.000hour	NA
575741000033111	2902911000001105	FemSeven 75 patches (Theramex HQ UK Ltd)	FemSeven 75 patches	Transdermal patch	Transdermal	Estradiol	75.000microgram/24.000hour	NA
662841000033112	86011000001100	Harmogen 1.5mg tablets (Pfizer Ltd)	Harmogen 1.5mg tablets	Tablet/ Oral Tablet	Oral	Estropipate	1.500mg	NA
709541000033113	293111000001101	Hormonin tablets (Advanz Pharma)	Hormonin tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Estriol/ Estrone	600.000microgram + 270.000microgram + 1.400mg	NA
805541000033114	3043111000001107	Kliofem tablets (Novo Nordisk Ltd)	Kliofem tablets	Tablet/ Oral Tablet	Oral	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	NA
838241000033112	521411000001105	Livial 2.5mg tablets (Organon Pharma (UK) Ltd)	Livial 2.5mg tablets	Tablet/ Oral Tablet	Oral	Tibolone	2.500mg	NA
850041000033115	3058111000001101	Loestrin 20 tablets (Galen Ltd)	Loestrin 20 tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Norethisterone acetate	20.000microgram + 1.000mg	NA
852341000033117	3058411000001106	Loestrin 30 tablets (Galen Ltd)	Loestrin 30 tablets	Tablet/ Oral Tablet	Oral	Ethinylestradiol/ Norethisterone acetate	30.000microgram + 1.500mg	NA
868441000033118	524211000001108	Marvelon tablets (Organon Pharma (UK) Ltd)	Marvelon tablets	Tablet/ Oral Tablet	Oral	Desogestrel/ Ethinylestradiol	150.000microgram + 30.000microgram	NA
905141000033112	208311000001105	Mercilon 150microgram/20microgram tablets (Organon Pharma (UK) Ltd)	Mercilon 150microgram/20microgram tablets	Tablet/ Oral Tablet	Oral	Desogestrel/ Ethinylestradiol	150.000microgram + 20.000microgram	NA
905341000033110	2895211000001103	Menorest 37.5 patches (Novartis Pharmaceuticals UK Ltd)	Menorest 37.5 patches	Transdermal patch	Transdermal	Estradiol	37.500microgram/24.000hour	NA
905441000033116	2943611000001102	Menorest 50 patches (Novartis Pharmaceuticals UK Ltd)	Menorest 50 patches	Transdermal patch	Transdermal	Estradiol	50.000microgram/24.000hour	NA
905541000033115	2910911000001109	Menorest 75 patches (Novartis Pharmaceuticals UK Ltd)	Menorest 75 patches	Transdermal patch	Transdermal	Estradiol	75.000microgram/24.000hour	NA
