ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
58941000033117	42267711000001109	Amisulpride 200mg tablets	Amisulpride 200mg tablets	Tablet/ Oral Tablet	Oral	Amisulpride	200.000mg	04020100	1034078
59041000033114	42267911000001106	Amisulpride 50mg tablets	Amisulpride 50mg tablets	Tablet/ Oral Tablet	Oral	Amisulpride	50.000mg	04020100	764194
69041000033115	9483411000001104	Anquil 250microgram tablets (Neon Healthcare Ltd)	Anquil 250microgram tablets	Tablet/ Oral Tablet	Oral	Benperidol	250.000microgram	NA	1834
145141000033119	42268611000001101	Benperidol 250microgram tablets	Benperidol 250microgram tablets	Tablet/ Oral Tablet	Oral	Benperidol	250.000microgram	04020100	63691
173841000033113	920911000001101	Buccastem 3mg tablets (Alliance Pharmaceuticals Ltd)	Buccastem 3mg tablets	Buccal tablet	Buccal	Prochlorperazine maleate	3.000mg	NA	435148
240041000033110	36138311000001103	Chlorpromazine 25mg/5ml oral solution	Chlorpromazine 25mg/5ml oral solution	Oral solution	Oral	Chlorpromazine hydrochloride	5.000mg/1.000ml	04020100	123680
241341000033116	36138411000001105	Chlorpromazine 50mg/2ml solution for injection ampoules	Chlorpromazine 50mg/2ml solution for injection ampoules	Solution for injection	Intramuscular	Chlorpromazine hydrochloride	25.000mg/1.000ml	04020100	1460
246641000033118	36137911000001103	Chlorpromazine 100mg/5ml oral suspension sugar free	Chlorpromazine 100mg/5ml oral suspension sugar free	Oral suspension	Oral	Chlorpromazine embonate	20.000mg/1.000ml	04020100	15009
249041000033117	42268911000001107	Chlorpromazine 10mg tablets	Chlorpromazine 10mg tablets	Tablet/ Oral Tablet	Oral	Chlorpromazine hydrochloride	10.000mg	04020100	169995
249141000033118	42268811000001102	Chlorpromazine 100mg tablets	Chlorpromazine 100mg tablets	Tablet/ Oral Tablet	Oral	Chlorpromazine hydrochloride	100.000mg	04020100	791474
249241000033113	42269111000001102	Chlorpromazine 25mg tablets	Chlorpromazine 25mg tablets	Tablet/ Oral Tablet	Oral	Chlorpromazine hydrochloride	25.000mg	04020100	1523693
249341000033115	42269211000001108	Chlorpromazine 50mg tablets	Chlorpromazine 50mg tablets	Tablet/ Oral Tablet	Oral	Chlorpromazine hydrochloride	50.000mg	04020100	1273781
273641000033114	4129911000001100	Clopixol Acuphase 50mg/1ml solution for injection ampoules (Lundbeck Ltd)	Clopixol Acuphase 50mg/1ml solution for injection ampoules	Solution for injection	Intramuscular	Zuclopenthixol acetate	50.000mg/1.000ml	NA	816
