MedCodeId	Term	SnomedCTConceptId
8043621000006117	Mild nonproliferative retinopathy due to type 2 diabetes mellitus	138911000119106
8043631000006119	Moderate nonproliferative retinopathy due to type 2 diabetes mellitus	138921000119104
7969151000006110	Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus	1551000119108
255335015	O/E - retinal microaneurysms	163986001
4573141000006115	On examination - retinal microaneurysms	163986001
255337011	O/E - retinal haemorrhages	163987005
4573161000006116	O/E - retinal hemorrhages	163987005
255338018	O/E - retinal exudates	163988000
255339014	On examination - retinal vascular proliferation	163989008
297755010	Advanced diabetic maculopathy	193350004
14071371000006113	Advanced maculopathy due to diabetes mellitus	193350004
297764017	Renal retinopathy	193357001
347657010	Diabetic maculopathy	232020009
12221251000006114	Maculopathy due to diabetes mellitus	232020009
14072591000006111	Disorder of macula due to diabetes mellitus	232020009
5240591000006112	Photocoagulation scars	247193008
42768011	Exudative retinopathy	25506007
42770019	Coat's syndrome	25506007
297753015	Other retinal disorders	29555009
297762018	Retinal disorder	29555009
297769010	Retinal vascular appearance change NOS	29555009
297778016	Other background retinopathy NOS	29555009
297781014	Other specified other proliferative retinopathy	29555009
297877017	Other retinal disorder NOS	29555009
297878010	Retinal disorder NOS	29555009
299479015	[X]Other specified retinal disorders	29555009
299480017	[X]Other retinal disorders in diseases classified elsewhere	29555009
399429017	Retinal detachments and defects	29555009
399430010	Other background retinopathy	29555009
16841000006115	Other retinal disorders	29555009
703191000006114	Microvascular retinal changes	29555009
2975231000006117	Retinal disease	29555009
2975241000006110	Retinopathy	29555009
5990541000006113	Advanced retinal disease	309594000
455408014	Advanced diabetic retinal disease	311782002
14077471000006114	Advanced retinal disease due to diabetes mellitus	311782002
6020121000006112	Panretinal photocoagulation	312713003
6020131000006110	Scatter retinal photocoagulation	312713003
6020141000006117	PRP	312713003
6020151000006115	Panretinal laser photocoagulation	312713003
6020161000006118	Scatter retinal laser photocoagulation	312713003
6022851000006114	Clinically significant macular oedema	312911008
6022861000006111	Clinically significant macular edema	312911008
6022871000006116	Clinically significant diabetic macular oedema	312911008
6022901000006116	CSME - Clinically significant macular oedema	312911008
6022911000006118	CSME - Clinically significant macular edema	312911008
6022921000006114	Diabetic macular oedema	312912001
6022931000006112	Diabetic macular edema	312912001
13810181000006111	Macular oedema due to diabetes mellitus	312912001
2164671014	Maculopathy	312999006
1780341000006110	Maculopathy	312999006
6024141000006111	Disorder of macula of retina	312999006
6024151000006113	Macular disease	312999006
6024161000006110	Macular disorder	312999006
6041331000006116	Diffuse diabetic maculopathy	314010006
14077851000006118	Diffuse exudative maculopathy due to diabetes mellitus	314010006
6041341000006114	Focal diabetic maculopathy	314011005
12224911000006115	Focal exudative diabetic maculopathy	314011005
14077861000006116	Focal exudative maculopathy due to diabetes mellitus	314011005
6041411000006117	Ischaemic diabetic maculopathy	314014002
6041421000006113	Ischemic diabetic maculopathy	314014002
14077871000006111	Ischaemic maculopathy due to diabetes mellitus	314014002
6041431000006111	Mixed diabetic maculopathy	314015001
12224971000006112	Mixed maculopathy due to diabetes mellitus	314015001
297770011	Retinal microaneurysm	34037000
3048141000006112	Retinal microaneurysms	34037000
13769841000006118	Microaneurysm of retinal artery	34037000
8120431000006115	Mild nonproliferative retinopathy due to secondary diabetes mellitus	368711000119106
733161000000116	Impaired vision due to diabetic retinopathy	373041000000101
1484887015	O/E - diabetic maculopathy present both eyes	390854003
6515451000006111	On examination - diabetic maculopathy present both eyes	390854003
1488434016	O/E - Laser photocoagulation scars	394718001
6546981000006111	On examination - Laser photocoagulation scars	394718001
6630561000006115	Diabetic macular oedema not clinically significant	399864000
6630571000006110	Diabetic macular edema not clinically significant	399864000
12300391000006115	Macular oedema not clinically significant with diabetes mellitus	399864000
6630701000006110	Visually threatening diabetic retinopathy	399871005
6760411000006117	O/E - retinopathy	408311002
2159876015	O/E - referable retinopathy	408312009
934251000006110	O/E - non-referable retinopathy	408313004
2159973010	O/E - right eye background diabetic retinopathy	408409007
6761781000006114	On examination - right eye background diabetic retinopathy	408409007
2159974016	O/E - left eye background diabetic retinopathy	408410002
6761801000006113	On examination - left eye background diabetic retinopathy	408410002
2474726011	Pan retinal photocoagulation for diabetes	413180006
6837961000006116	Panretinal photocoagulation for diabetes	413180006
2549896013	O/E - sight threatening diabetic retinopathy	417677008
938301000006114	Exudative maculopathy with type 1 diabetes mellitus	420486006
938311000006112	Type I diabetes mellitus with exudative maculopathy	420486006
6954991000006112	Exudative maculopathy associated with type I diabetes mellitus	420486006
14083771000006118	Exudative maculopathy due to type 1 diabetes mellitus	420486006
84441000006110	Type 1 diabetes mellitus with retinopathy	420789003
84811000006114	Type I diabetes mellitus with retinopathy	420789003
913661000006118	Retinopathy with type 1 diabetes mellitus	420789003
913671000006113	Type I diabetes mellitus with retinopathy	420789003
14083831000006112	Retinopathy due to type 1 diabetes mellitus	420789003
938321000006116	Exudative maculopathy associated with type 2 diabetes mellitus	421779007
