medcodeid	term_medcode
251923016	H/O: kidney recipient
4542501000006119	History of renal transplant
4542521000006112	History of - kidney recipient
460644012	History of renal transplant
4669011000006116	Live donor renal allotransplant
4669031000006110	Live donor renal allograft
272320011	Allotransplantation of kidney from live donor
90471000006113	Live donor renal transplant
272325018	Cadaveric renal transplant
478131000006115	Allotransplantation of kidney from cadaver
4669061000006118	Cadaver renal allograft
90461000006118	Transplantation of kidney from cadaver
4669051000006115	Cadaver renal allotransplant
399381000000115	Allotransplantation of kidney from cadaver NEC
117168016	Renal transplant
272326017	Other specified transplantation of kidney
272327014	Transplantation of kidney NOS
3647071000006110	Tx - Kidney transplantation
3647061000006115	Kidney transplant
3647051000006117	Tx - Renal transplantation
501594013	Transplantation of kidney
3647091000006111	Renal graft
3647031000006112	Kidney transplantation
3647021000006114	Transplant of kidney
106291000006118	Thomas intravascular shunt for dialysis
3657891000006116	PD - Peritoneal dialysis
375841000000114	Peritoneal dialysis NEC
118218017	Peritoneal dialysis
228131000006117	Placement ambulatory dialysis apparatus - compens renal fail
773041000006111	Insertion of chronic ambulatory peritoneal dialysis catheter
228101000006113	Placement ambulatory apparatus compensation renal failure
4694051000006116	Removal of chronic ambulatory peritoneal dialysis catheter
181021000006119	Removal of ambulatory peritoneal dialysis catheter
278844014	Insertion of temporary peritoneal dialysis catheter
7174851000006111	CKD stage 5
304111000000114	Chronic kidney disease stage 5
2767154014	Chronic kidney disease stage 5
7688001000006116	Allotransplantation of kidney with DBD (donation after brain stem death)
372621000000114	Allotransplantation of kidney from beating heart cadaver
1549841000006116	Allotransplantation of kidney from non-beating heart cadaver
7688041000006119	Allotransplantation of kidney with DCD (donation after cardiac death)
5486891000006118	Removal of transplanted kidney
394365013	Transplant nephrectomy
1905531000006112	Excision of rejected transplanted kidney
5686451000006112	Removal of rejected kidney
422992018	Excision of rejected transplanted kidney
272389014	Exploration of renal transplant
4669451000006113	Exploration of kidney transplant
380101000000116	Examination of recipient after kidney transplant
7091541000006113	Post-transplantation of kidney examination of recipient
380061000000118	Interventions associated with transplantation of kidney NOS
7688541000006114	Transplantation of kidney regime
1550021000006110	OS interventions associated with transplantation of kidney
366671000000118	Interventions associated with transplantation of kidney
2692168016	Automated peritoneal dialysis
357219012	Continuous ambulatory peritoneal dialysis
5120171000006118	CAPD - Continuous ambulatory peritoneal dialysis
5120141000006114	Flushing of chronic ambulatory peritoneal dialysis catheter
1705621000000113	Flushing of peritoneal dialysis catheter
7118431000006118	Infection of arteriovenous graft for haemodialysis
7118451000006113	Infection of dialysis graft
7118441000006111	Infection of arteriovenous graft for hemodialysis
2240321000000114	Infection of dialysis arteriovenous graft
7367731000006118	Infection of HD arteriovenous fistula
1870801000006111	Infection of haemodialysis arteriovenous fistula
7367691000006114	Infection of haemodialysis arteriovenous fistula
7367721000006116	Infection of HD AV fistula
11930831000006111	Infection of hemodialysis arteriovenous fistula
7367741000006111	Infection of arteriovenous fistula for haemodialysis
7367701000006114	Infection of arteriovenous fistula for hemodialysis
641471000006117	End stage renal failure
641491000006116	End-stage renal disease
11924551000006114	End-stage renal disease
3245861000006116	ESCRF - End stage chronic renal failure
215521000000116	End stage renal disease
3245871000006111	ESRD - End stage renal disease
3245841000006115	End stage kidney disease
12704471000006116	End-stage renal disease
3245881000006114	End stage chronic renal failure
3245851000006118	ESRF - End stage renal failure
5592051000006113	Peritonitis secondary to peritoneal dialysis
453312018	Peritoneal dialysis-associated peritonitis
7518811000006118	CAPD (Continuous ambulatory peritoneal dialysis) associated peritonitis
1743241000006119	Continuous ambulatory peritoneal dialysis associated peritonitis
2645965011	Stenosis of arteriovenous dialysis fistula
324973015	Kidney transplant failure and rejection
988961000006115	Renal transplant rejected
354628010	Acute-on-chronic rejection of renal transplant
354616019	Acute rejection of renal transplant - grade I
354617011	Acute rejection of renal transplant - grade II
354618018	Acute rejection of renal transplant - grade III
354615015	Acute rejection of renal transplant
354621016	Chronic transplant nephropathy
5096141000006114	Chronic allograft nephropathy
354619014	Chronic rejection of renal transplant
413415016	Unexplained episode of renal transplant dysfunction
354610013	Renal transplant rejection
615611000006116	Det.ren.func.after ren.transpl
900121000006113	Renal transplant rejected
354613010	Very mild acute rejection of renal transplant
354614016	Borderline changes of acute rejection
1848741000006116	Complication of peritoneal dialysis
272134015	Insertion of arteriovenous prosthesis
272139013	Attention to arteriovenous shunt
