ProdCodeId	dmdid	TermFromEMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	DrugIssues
189041000033114	939911000001109	Canesten 10% vaginal cream (Bayer Plc)	Canesten 10% vaginal cream	Cream/ Vaginal cream	Vaginal	Clotrimazole	100.000mg/1.000gram	NA	147642
202741000033118	NA	Canesten Combi  Pessary and cream  	NA	NA	NA	NA	NA	NA	103838
218941000033116	NA	Canesten 1  Pessary  500 mg	NA	NA	NA	NA	NA	NA	217346
219041000033113	893911000001105	Canesten 100mg pessaries (Bayer Plc)	Canesten 100mg pessaries	 Pessary	Vaginal	Clotrimazole	100.000mg	NA	77980
219141000033112	826811000001101	Canesten 500mg pessaries (Bayer Plc)	Canesten 500mg pessaries	 Pessary	Vaginal	Clotrimazole	500.000mg	NA	205400
219241000033117	897411000001109	Canesten 200mg pessaries (Bayer Plc)	Canesten 200mg pessaries	 Pessary	Vaginal	Clotrimazole	200.000mg	NA	305565
219341000033110	NA	Canesten  Vaginal cream  2 %	NA	NA	NA	NA	NA	NA	44014
495241000033117	4092111000001109	Ecostatin 150mg pessaries (Bristol-Myers Squibb Pharmaceuticals Ltd)	Ecostatin 150mg pessaries	 Pessary	Vaginal	Econazole nitrate	150.000mg	NA	19410
495341000033110	NA	Ecostatin Twinpack  Pessaries  150 mg	NA	NA	NA	NA	NA	NA	350
656341000033114	19200811000001108	Gyno-Daktarin 2% vaginal cream (Janssen-Cilag Ltd)	Gyno-Daktarin 2% vaginal cream	Cream/ Vaginal cream	Vaginal	Miconazole nitrate	20.000mg/1.000gram	NA	114473
656941000033113	3357711000001102	Gyno-Daktarin 1200mg vaginal capsules (Janssen-Cilag Ltd)	Gyno-Daktarin 1200mg vaginal capsules	Capsule/ Vaginal capsule	Vaginal	Miconazole nitrate	1.200gram	NA	15186
657041000033114	NA	Gyno-Daktarin 1  Ovule  1200 mg	NA	NA	NA	NA	NA	NA	17409
657141000033113	4093911000001100	Gyno-Pevaryl Once 150mg vaginal pessary (Karo Pharma UK Ltd)	Gyno-Pevaryl Once 150mg vaginal pessary	 Pessary	Vaginal	Econazole nitrate	150.000mg	NA	26260
657241000033118	3358511000001106	Gyno-Daktarin 100mg pessaries (Janssen-Cilag Ltd)	Gyno-Daktarin 100mg pessaries	 Pessary	Vaginal	Miconazole nitrate	100.000mg	NA	39520
657341000033111	NA	Gyno-Daktarin Combipack  Pessaries  100 mg	NA	NA	NA	NA	NA	NA	400
657441000033117	4091911000001101	Gyno-Pevaryl 150mg vaginal pessaries (Karo Pharma UK Ltd)	Gyno-Pevaryl 150mg vaginal pessaries	 Pessary	Vaginal	Econazole nitrate	150.000mg	NA	33325
657541000033116	NA	Gyno-Pevaryl 1 Combipack  Pessaries  150 mg	NA	NA	NA	NA	NA	NA	1450
657641000033115	NA	Gyno-Pevaryl Combipack  Pessaries  150 mg	NA	NA	NA	NA	NA	NA	131
657841000033119	NA	Gyno-Daktarin  Tampons  100 mg	NA	NA	NA	NA	NA	NA	1433
848141000033116	NA	Lomexin  Pessaries  200 mg	NA	NA	NA	NA	NA	NA	1098
848241000033111	NA	Lomexin  Pessaries  600 mg	NA	NA	NA	NA	NA	NA	1319
932441000033119	NA	Monistat  Pessaries  100 mg	NA	NA	NA	NA	NA	NA	6
995941000033111	3830111000001103	Nystan 100,000unit pessaries (Bristol-Myers Squibb Pharmaceuticals Ltd)	Nystan 100,000unit pessaries	 Pessary	Vaginal	Nystatin	100000.000unit + 100000.000unit	NA	13400
996141000033119	NA	Nystavescent  Pessaries  100,000 units	NA	NA	NA	NA	NA	NA	135
997241000033112	4385311000001100	Nystan 100,000units/4g application vaginal cream (Bristol-Myers Squibb Pharmaceuticals Ltd)	Nystan 100,000units/4g application vaginal cream	Cream/ Vaginal cream	Vaginal	Nystatin	25000.000unit/1.000gram + 25000.000unit/1.000gram	NA	6696
1399041000033119	NA	Sultrin  Vaginal tablets	NA	NA	NA	NA	NA	NA	4154
1475041000033115	NA	Travogyn  Vaginal tablets  300 mg	NA	NA	NA	NA	NA	NA	870
2146341000033113	3364911000001103	Canesten Combi 500mg pessary and External 2% cream (Bayer Plc)	Canesten Combi 500mg pessary and External 2% cream	Not applicable	NA	NA	NA	NA	491623
2185041000033112	360111000001101	Canesten Thrush External 2% cream (Bayer Plc)	Canesten Thrush External 2% cream	Cream/ Cutaneous cream	Cutaneous	Clotrimazole	20.000mg/1.000gram	NA	42664
2638341000033112	673811000001104	Abtrim 500mg pessaries (Ashbourne Pharmaceuticals Ltd)	Abtrim 500mg pessaries	 Pessary	Vaginal	Clotrimazole	500.000mg	NA	307
