drug_class,generic_name,brand_name
Acarbose,Acarbose,Acarbose
Acarbose,Acarbose,Glucobay
Acarbose,Miglitol,Glyset
Acarbose,Miglitol,Miglitol
Acarbose,Voglibose,Voglib
Acarbose,Voglibose,Voglibose
DPP4,Alogliptin,Alogliptin
DPP4,Alogliptin,Kazano
DPP4,Alogliptin,Nesina
DPP4,Alogliptin,Vipdomet
DPP4,Alogliptin,Vipidia
DPP4,Linagliptin,Glyxambi
DPP4,Linagliptin,Jentadueto
DPP4,Linagliptin,Linagliptin
DPP4,Linagliptin,Tradjenta
DPP4,Linagliptin,Trajenta
DPP4,Saxagliptin,Kombiglyze
DPP4,Saxagliptin,Komboglyze
DPP4,Saxagliptin,Onglyza
DPP4,Saxagliptin,Qtern
DPP4,Saxagliptin,Saxagliptin
DPP4,Sitagliptin,Janumet
DPP4,Sitagliptin,Januvia
DPP4,Sitagliptin,Ristfor
DPP4,Sitagliptin,Sitagliptin
DPP4,Vildagliptin,Eucreas
DPP4,Vildagliptin,Galvus
DPP4,Vildagliptin,Vildagliptin
GIPGLP1,Tirzepatide,Mounjaro
GIPGLP1,Tirzepatide,Tirzepatide
GLP1,Albiglutide,Albiglutide
GLP1,Albiglutide,Eperzan
GLP1,Albiglutide,Tanzeum
GLP1,Dulaglutide,Dulaglutide
GLP1,Dulaglutide,Trulicity
GLP1,Exenatide,Byetta
GLP1,Exenatide,Exenatide
GLP1,Exenatide prolonged-release,Bydureon
GLP1,Exenatide prolonged-release,Exenatide prolonged-release
GLP1,High-dose semaglutide,Wegovy
GLP1,Liraglutide,Liraglutide
GLP1,Liraglutide,Saxenda
GLP1,Liraglutide,Victoza
GLP1,Liraglutide,Xultophy
GLP1,Lixisenatide,Lixisenatide
GLP1,Lixisenatide,Lyxumia
GLP1,Lixisenatide,Suliqua
GLP1,Low-dose semaglutide,Ozempic
GLP1,Oral semaglutide,Oral semaglutide
GLP1,Oral semaglutide,Rybelsus
GLP1,Semaglutide,Semaglutide
Glinide,Nateglinide,Nateglinide
Glinide,Nateglinide,Starlix
Glinide,Repaglinide,Enyglid
Glinide,Repaglinide,Novonorm
Glinide,Repaglinide,Prandin
Glinide,Repaglinide,Repaglinide
INS,Basal insulin,Basal insulin
INS,Basal insulin,Suliqua
INS,Basal insulin,Xultophy
MFN,Metformin,Amaryl M
MFN,Metformin,Avandamet
MFN,Metformin,Axpinet
MFN,Metformin,Bolamyn
MFN,Metformin,Competact
MFN,Metformin,Diagemet
MFN,Metformin,Duformin
MFN,Metformin,Eucreas
MFN,Metformin,Glucamet
MFN,Metformin,Glucient
MFN,Metformin,Glucophage
