ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
549541000033119		Ethinyloestradiol Tablets 10 micrograms	Ethinyloestradiol Tablets 10 micrograms						
896241000033115		Menophase Tablets	Menophase Tablets						
999341000033110		Oestradiol Hemihydrate Gel 500 micrograms/500 mg sachet	Oestradiol Hemihydrate Gel 500 micrograms/500 mg sachet						
999441000033116		Oestradiol Implant 100 mg	Oestradiol Implant 100 mg						
999641000033119		Oestradiol Implant 50 mg	Oestradiol Implant 50 mg						
1000841000033115		Oestriol Tablets 250 micrograms	Oestriol Tablets 250 micrograms						
1001541000033111		Oestradiol Transdermal patches 80 micrograms/24 hrs	Oestradiol Transdermal patches 80 micrograms/24 hrs						
1001841000033113		Oestradiol Transdermal patches (7 days) 100 micrograms/24 hrs	Oestradiol Transdermal patches (7 days) 100 micrograms/24 hrs						
1090641000033119		Piperazine Hydrate Syrup 750 mg/5 ml	Piperazine Hydrate Syrup 750 mg/5 ml						
1091341000033119		Piperazine Oestrone Sulfate Tablets 1.5 mg	Piperazine Oestrone Sulfate Tablets 1.5 mg						
3101741000033116		*Estriol Granules	*Estriol Granules						
3102041000033112		*Estriol Pills (Sucrose)	*Estriol Pills (Sucrose)						
2216841000033114		Dermestril Septem Transdermal patches (7 days) 25 micrograms/24 hrs	Dermestril Septem Transdermal patches (7 days) 25 micrograms/24 hrs						
394841000033113		Cyclo-Progynova 1Mg Calendar pack	Cyclo-Progynova 1Mg Calendar pack						
824641000033116		Levonorgestrel Subdermal implant 228 mg	Levonorgestrel Subdermal implant 228 mg						
999941000033114		Oestriol Pessaries 500 micrograms	Oestriol Pessaries 500 micrograms						
1001241000033114		Oestradiol Transdermal patches 25 micrograms/24 hrs	Oestradiol Transdermal patches 25 micrograms/24 hrs						
1002241000033115		Oestradiol Vaginal tablets 25 micrograms	Oestradiol Vaginal tablets 25 micrograms						
549941000033113		Ethinyloestradiol Tablets 50 micrograms	Ethinyloestradiol Tablets 50 micrograms						
998841000033112		Oestriol Cream 0.1 %	Oestriol Cream 0.1 %						
998941000033116		Oestriol Intravaginal cream 0.01 % with applicator	Oestriol Intravaginal cream 0.01 % with applicator						
999241000033117		Oestradiol Hemihydrate Gel 1 mg/1 gram sachet	Oestradiol Hemihydrate Gel 1 mg/1 gram sachet						
1000741000033113		Oestradiol Tablets 1 mg	Oestradiol Tablets 1 mg						
1000941000033111		Oestradiol Valerate Tablets 1 mg	Oestradiol Valerate Tablets 1 mg						
1001141000033119		Oestradiol Transdermal patches 100 micrograms/24 hrs	Oestradiol Transdermal patches 100 micrograms/24 hrs						
1104041000033114		Polyestradiol Phosphate Injection 40 mg vial	Polyestradiol Phosphate Injection 40 mg vial						
