ProdCodeId	dmdid	TermFromEMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
219341000033110	NA	Canesten Vaginal cream 2 %	NA	NA	NA	NA	NA	NA	NA
848141000033116	NA	Lomexin Pessaries 200 mg	NA	NA	NA	NA	NA	NA	NA
848241000033111	NA	Lomexin Pessaries 600 mg	NA	NA	NA	NA	NA	NA	NA
932441000033119	NA	Monistat Pessaries 100 mg	NA	NA	NA	NA	NA	NA	NA
1399041000033119	NA	Sultrin Vaginal tablets	NA	NA	NA	NA	NA	NA	NA
2827341000033116	NA	Gyno-Daktarin Vaginal Capsules 400 mg	NA	NA	NA	NA	NA	NA	NA
657341000033111	NA	Gyno-Daktarin Combipack Pessaries 100 mg	NA	NA	NA	NA	NA	NA	NA
5144441000033110	NA	Gyno-Daktarin Vaginal Capsules 200 mg	NA	NA	NA	NA	NA	NA	NA
996141000033119	NA	Nystavescent Pessaries 100,000 units	NA	NA	NA	NA	NA	NA	NA
188541000033111	NA	Canesten 10% Vc Vaginal cream 10 %	NA	NA	NA	NA	NA	NA	NA
495341000033110	NA	Ecostatin Twinpack Pessaries 150 mg	NA	NA	NA	NA	NA	NA	NA
657641000033115	NA	Gyno-Pevaryl Combipack Pessaries 150 mg	NA	NA	NA	NA	NA	NA	NA
657841000033119	NA	Gyno-Daktarin Tampons 100 mg	NA	NA	NA	NA	NA	NA	NA
5123741000033115	NA	Lomexin T Ovule 1000 mg	NA	NA	NA	NA	NA	NA	NA
1475041000033115	NA	Travogyn Vaginal tablets 300 mg	NA	NA	NA	NA	NA	NA	NA
202741000033118	NA	Canesten Combi Pessary and cream	NA	NA	NA	NA	NA	NA	NA
657541000033116	NA	Gyno-Pevaryl 1 Combipack Pessaries 150 mg	NA	NA	NA	NA	NA	NA	NA
657041000033114	NA	Gyno-Daktarin 1 Ovule 1200 mg	NA	NA	NA	NA	NA	NA	NA
218941000033116	321911000001104	Canesten 500mg pessaries (Bayer Plc)	Canesten 500mg pessaries	Pessary	Vaginal	Clotrimazole	500.000mg	7020200	NA
2185041000033112	360111000001101	Canesten 2% thrush cream (Bayer Plc)	Canesten 2% thrush cream	Cream	Cutaneous	Clotrimazole	20.000mg/1.000gram	7020200	NA
2638341000033112	673811000001104	Abtrim 500mg pessaries (Ashbourne Pharmaceuticals Ltd)	Abtrim 500mg pessaries	Pessary	Vaginal	Clotrimazole	500.000mg	7020200	NA
