ICD10	Term_description
F70	F70 - Mild mental retardation
F700	F700 - Mild mental retardation - With the statement of no, or minimal, impairment of behaviour
F701	F701 - Mild mental retardation - Significant impairment of behaviour requiring attention or treatment
F708	F708 - Mild mental retardation - Other impairments of behaviour
F709	F709 - Mild mental retardation - Without mention of impairment of behaviour
F71	F71 - Moderate mental retardation
F710	F710 - Moderate mental retardation - With the statement of no, or minimal, impairment of behaviour
F711	F711 - Moderate mental retardation - Significant impairment of behaviour requiring attention or treatment
F718	F718 - Moderate mental retardation - Other impairments of behaviour
F719	F719 - Moderate mental retardation - Without mention of impairment of behaviour
F72	F72 - Severe mental retardation
F720	F720 - Severe mental retardation - With the statement of no, or minimal, impairment of behaviour
F721	F721 - Severe mental retardation - Significant impairment of behaviour requiring attention or treatment
F728	F728 - Severe mental retardation - Other impairments of behaviour
F729	F729 - Severe mental retardation - Without mention of impairment of behaviour
F73	F73 - Profound mental retardation
F730	F730 - Profound mental retardation - With the statement of no, or minimal, impairment of behaviour
F731	F731 - Profound mental retardation - Significant impairment of behaviour requiring attention or treatment
F738	F738 - Profound mental retardation - Other impairments of behaviour
F739	F739 - Profound mental retardation - Without mention of impairment of behaviour
F78	F78 - Other mental retardation
F780	F780 - Other mental retardation - With the statement of no, or minimal, impairment of behaviour
F781	F781 - Other mental retardation - Significant impairment of behaviour requiring attention or treatment
F788	F788 - Other mental retardation - Other impairments of behaviour
F789	F789 - Other mental retardation - Without mention of impairment of behaviour
F79	F79 - Unspecified mental retardation
F790	F790 - Unspecified mental retardation - With the statement of no, or minimal, impairment of behaviour
F791	F791 - Unspecified mental retardation - Significant impairment of behaviour requiring attention or treatment
F798	F798 - Unspecified mental retardation - Other impairments of behaviour
F799	F799 - Unspecified mental retardation - Without mention of impairment of behaviour
F80	F80 - Specific developmental disorders of speech and language
F800	F800 - Specific speech articulation disorder
F801	F801 - Expressive language disorder
F802	F802 - Receptive language disorder
F803	F803 - Acquired aphasia with epilepsy [Landau-Kleffner]
F808	F808 - Other developmental disorders of speech and language
F809	F809 - Developmental disorder of speech and language, unspecified
F81	F81 - Specific developmental disorders of scholastic skills
F810	F810 - Specific reading disorder
F811	F811 - Specific spelling disorder
F812	F812 - Specific disorder of arithmetical skills
F813	F813 - Mixed disorder of scholastic skills
F818	F818 - Other developmental disorders of scholastic skills
F819	F819 - Developmental disorder of scholastic skills, unspecified
F82	F82 - Specific developmental disorder of motor function
F82X	F82X - Specific developmental disorder of motor function
F83	F83 - Mixed specific developmental disorders
F83X	F83X - Mixed specific developmental disorders
F84	F84 - Pervasive developmental disorders
F840	F840 - Childhood autism
F841	F841 - Atypical autism
F842	F842 - Rett syndrome
F843	F843 - Other childhood disintegrative disorder
F844	F844 - Overactive disorder associated with mental retardation and stereotyped movements
F845	F845 - Asperger syndrome
F848	F848 - Other pervasive developmental disorders
F849	F849 - Pervasive developmental disorder, unspecified
F88X	F88X - Other disorders of psychological development
F89X	F89X - Unspecified disorder of psychological development
