ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
143041000033117	3804311000001103	Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd)	Betnelan 500microgram tablets	Tablet	Oral	Betamethasone	500.000microgram	NA	NA
144841000033114	3694811000001103	Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd)	Betnesol 500microgram soluble tablets	Soluble tablet	Oral	Betamethasone sodium phosphate	500.000microgram	NA	NA
744641000033115	197211000001101	Hydrocortone 10mg tablets (Auden McKenzie (Pharma Division) Ltd)	Hydrocortone 10mg tablets	Tablet	Oral	Hydrocortisone	10.000mg	NA	NA
593341000033117	838111000001105	Florinef 100microgram tablets (Aspen Pharma Trading Ltd)	Florinef 100microgram tablets	Tablet	Oral	Fludrocortisone acetate	100.000microgram	6030100	NA
744741000033112	706611000001109	Hydrocortone 20mg tablets (Auden McKenzie (Pharma Division) Ltd)	Hydrocortone 20mg tablets	Tablet	Oral	Hydrocortisone	20.000mg	NA	NA
8142241000033112	21494911000001103	Plenadren 20mg modified-release tablets (Shire Pharmaceuticals Ltd)	Plenadren 20mg modified-release tablets	Modified-release tablet	Oral	Hydrocortisone	20.000mg	6030200	NA
8142141000033117	21494611000001109	Plenadren 5mg modified-release tablets (Shire Pharmaceuticals Ltd)	Plenadren 5mg modified-release tablets	Modified-release tablet	Oral	Hydrocortisone	5.000mg	6030200	NA
4044641000033112	8515311000001100	Fludrocortisone 100micrograms/5ml oral suspension	Fludrocortisone 100micrograms/5ml oral suspension	Oral suspension	Oral	Fludrocortisone acetate	20.000microgram/1.000ml	NA	NA
6453841000033113	8515411000001107	Fludrocortisone 125micrograms/5ml oral suspension	Fludrocortisone 125micrograms/5ml oral suspension	Oral suspension	Oral	Fludrocortisone acetate	25.000microgram/1.000ml	NA	NA
3034041000033119	12030411000001102	Fludrocortisone 20micrograms/5ml oral suspension	Fludrocortisone 20micrograms/5ml oral suspension	Oral suspension	Oral	Fludrocortisone acetate	4.000microgram/1.000ml	NA	NA
5968041000033118	8516111000001108	Fludrocortisone 50micrograms/5ml oral suspension	Fludrocortisone 50micrograms/5ml oral suspension	Oral suspension	Oral	Fludrocortisone acetate	10.000microgram/1.000ml	NA	NA
588541000033116	8515711000001101	Fludrocortisone 250micrograms/5ml oral suspension	Fludrocortisone 250micrograms/5ml oral suspension	Oral suspension	Oral	Fludrocortisone acetate	50.000microgram/1.000ml	NA	NA
740241000033111	8581111000001102	Hydrocortisone 10mg/5ml oral suspension	Hydrocortisone 10mg/5ml oral suspension	Oral suspension	Oral	Hydrocortisone	2.000mg/1.000ml	NA	NA
2149441000033113	8581511000001106	Hydrocortisone 25mg/5ml oral suspension	Hydrocortisone 25mg/5ml oral suspension	Oral suspension	Oral	Hydrocortisone	5.000mg/1.000ml	NA	NA
1830141000033115	8581611000001105	Hydrocortisone 5mg/5ml oral suspension	Hydrocortisone 5mg/5ml oral suspension	Oral suspension	Oral	Hydrocortisone	1.000mg/1.000ml	NA	NA
2623741000033116	20093511000001108	Hydrocortisone 5mg/5ml oral suspension sugar free	Hydrocortisone 5mg/5ml oral suspension sugar free	Oral suspension	Oral	Hydrocortisone	1.000mg/1.000ml	NA	NA
12633541000033113	35776111000001107	Hydrocortisone 5mg granules in capsules for opening	Hydrocortisone 5mg granules in capsules for opening	Granules	Oral	Hydrocortisone	5.000mg	NA	NA
12633241000033111	35776011000001106	Hydrocortisone 500microgram granules in capsules for opening	Hydrocortisone 500microgram granules in capsules for opening	Granules	Oral	Hydrocortisone	500.000microgram	NA	NA
12633341000033118	35775611000001109	Hydrocortisone 1mg granules in capsules for opening	Hydrocortisone 1mg granules in capsules for opening	Granules	Oral	Hydrocortisone	1.000mg	NA	NA
12633441000033112	35775711000001100	Hydrocortisone 2mg granules in capsules for opening	Hydrocortisone 2mg granules in capsules for opening	Granules	Oral	Hydrocortisone	2.000mg	NA	NA
371941000033113	325349009	Cortisone 25mg tablets	Cortisone 25mg tablets	Tablet	Oral	Cortisone acetate	25.000mg	NA	NA
