Code,Description
1M8..#,diabetic peripheral neuropathic pain
C106.#,diabetes mellitus with neuropathy
C108B#,insulin dependent diabetes mellitus with mononeuropathy
C108C#,insulin dependent diabetes mellitus with polyneuropathy
C108J#,insulin dependent diab mell with neuropathic arthropathy
C109A#,non-insulin dependent diabetes mellitus with mononeuropathy
C109B#,non-insulin dependent diabetes mellitus with polyneuropathy
C109H#,non-insulin dependent d m with neuropathic arthropathy
C10EB#,type 1 diabetes mellitus with mononeuropathy
C10EC#,type 1 diabetes mellitus with polyneuropathy
C10EJ#,type 1 diabetes mellitus with neuropathic arthropathy
C10FA#,type 2 diabetes mellitus with mononeuropathy
C10FB#,type 2 diabetes mellitus with polyneuropathy
C10FH#,type 2 diabetes mellitus with neuropathic arthropathy
F170.#,idiopathic peripheral autonomic neuropathy
F170z#,idiopathic peripheral autonomic neuropathy nos
F171.#,peripheral autonomic neuropathy disease ec
F1711#,autonomic neuropathy due to diabetes
F171z#,peripheral autonomic neuropathy due to disease nos
F3561#,morton's neuralgia
F364.#,idiopathic progressive polyneuropathy
F366.#,polyneuropathy
F367.#,peripheral neuropathy
F36y.#,other idiopathic peripheral neuropathy
F36yz#,other idiopathic peripheral neuropathy nos
F36z.#,hereditary or idiopathic peripheral neuropathy nos
F37..#,inflammatory and toxic neuropathy
F371.#,polyneuropathy in collagen vascular disease
F3710#,polyneuropathy in disseminated lupus erythematosus
F3711#,polyneuropathy in polyarteritis nodosa
F371z#,polyneuropathy in collagen vascular disease nos
F372.#,polyneuropathy in diabetes
F3720#,acute painful diabetic neuropathy
F3721#,chronic painful diabetic neuropathy
F373.#,polyneuropathy in malignant disease
F3740#,polyneuropathy in amyloidosis
F3741#,polyneuropathy in beriberi
F3742#,polyneuropathy in vitamin b deficiency
F3743#,polyneuropathy in diphtheria
F3744#,polyneuropathy in herpes zoster
F3745#,polyneuropathy in hypoglycaemia
F3746#,polyneuropathy in mumps
F3748#,polyneuropathy in porphyria
