readcode,term_readcode,cal,man,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
C104.#,Diabetes mellitus with renal manifestation,1,1,2,881481000006117#,Diabetes + nephropathy,C104-99,C104.99,127013003,881481000006117,NA,32,C104.99#
C104.#,Diabetes mellitus with renal manifestation,1,1,2,616461000006112#,Diabetes mellitus with renal manifestation,C104,C104.00,127013003,301016,NA,32,C104.00#
C104.#,Diabetes mellitus with renal manifestation,1,1,2,205225016#,Diabetic nephropathy,C104-1,C104.11,127013003,205225016,NA,32,C104.11#
C1040#,"Diabetes mellitus, juvenile type, with renal manifestation",1,1,2,616661000006114#,"Diabetes mellitus, juvenile type, with renal manifestation",C1040,C104000,421893009,2618211013,NA,32,C104000#
C1041#,"Diabetes mellitus, adult onset, with renal manifestation",1,1,2,616551000006111#,"Diabetes mellitus, adult onset, with renal manifestation",C1041,C104100,420279001,2615535015,NA,32,C104100#
C104y#,Other specified diabetes mellitus with renal complications,1,1,2,292495016#,Other specified diabetes mellitus with renal complications,C104y,C104y00,127013003,301016,NA,32,C104y00#
C104z#,Diabetes mellitis with nephropathy NOS,1,1,2,292496015#,Diabetes mellitus with nephropathy NOS,C104z,C104z00,127013003,301016,NA,32,C104z00#
C1080#,Insulin-dependent diabetes mellitus with renal complications,1,1,2,771501000006119#,Insulin-dependent diabetes mellitus with renal complications,C1080,C108000,127013003,301016,NA,32,C108000#
C1080#,Insulin-dependent diabetes mellitus with renal complications,1,1,2,84801000006111#,Type I diabetes mellitus with renal complications,C1080-1,C108011,421893009,2623054013,NA,32,C108011#
C1080#,Insulin-dependent diabetes mellitus with renal complications,1,1,2,84431000006117#,Type 1 diabetes mellitus with renal complications,C1080-2,C108012,421893009,2618211013,NA,32,C108012#
C1090#,Non-insulin-dependent diabetes mellitus with renal comps,1,1,2,84981000006114#,Type II diabetes mellitus with renal complications,C1090-1,C109011,420279001,3013392012,NA,32,C109011#
C1090#,Non-insulin-dependent diabetes mellitus with renal comps,1,1,2,587521000006111#,Non-insulin-dependent diabetes mellitus with renal comps,C1090,C109000,420279001,2615535015,NA,32,C109000#
C1090#,Non-insulin-dependent diabetes mellitus with renal comps,1,1,2,84611000006113#,Type 2 diabetes mellitus with renal complications,C1090-2,C109012,420279001,2618208012,NA,32,C109012#
C10E0#,Type 1 diabetes mellitus with renal complications,1,1,2,913441000006119#,Insulin-dependent diabetes mellitus with renal complications,C10E0-2,C10E012,127013003,301016,NA,32,C10E012#
