medcodeid	term_medcode
2662211000006111	Aortocoronary bypass of four or more coronary arteries
2662231000006117	Cardiac revascularisation with bypass aortocoronary anastomosis of four coronary vessels
2662221000006115	Cardiac revascularization with bypass aortocoronary anastomosis of four coronary vessels
238821000006111	Percutaneous balloon coronary angioplasty
2676631000006114	PTCA - Percutaneous transluminal coronary angioplasty
89711000006118	Percutaneous transluminal coronary angioplasty
2676621000006111	Percutaneous transluminal coronary balloon angioplasty
2676611000006115	Balloon angioplasty of coronary artery
865291000006117	Coronary Angioplasty
271148018	Transluminal balloon angioplasty of coronary artery NOS
2676641000006116	Percutaneous angioplasty of coronary artery
89731000006112	Transluminal balloon angioplasty of coronary artery OS
4317901000006119	Internal mammary-coronary artery bypass graft
4317911000006116	Coronary artery bypass graft, anastomosis of artery of thorax to coronary artery
8041051000006118	History of placement of stent in coronary artery bypass graft
8041061000006116	Stent in branch of right coronary artery
8041271000006117	Bare metal stent in anterior descending branch of left coronary artery
8041291000006116	Drug coated stent in branch of right coronary artery
8041301000006115	Bare metal stent in branch of right coronary artery
8041311000006117	Drug coated stent in circumflex branch of left coronary artery
8041321000006113	Bare metal stent in circumflex branch of left coronary artery
8041331000006111	Drug coated stent in anterior descending branch of left coronary artery
1221061012	Open angioplasty of coronary artery
2724981000006116	Coronary angioplasty by open chest approach
865281000006115	Angioplasty of coronary artery
2726891000006116	Cardiac revascularisation with bypass aortocoronary anastomosis of three coronary vessels
2726871000006117	Aortocoronary bypass of three coronary arteries
2726881000006119	Cardiac revascularization with bypass aortocoronary anastomosis of three coronary vessels
11904401000006115	Saphenous vein graft replacement of one coronary artery
11904421000006113	Saphenous vein graft replacement of two coronary arteries
11904411000006117	Saphenous vein graft replacement of three coronary arteries
11904391000006117	Saphenous vein graft replacement of four or more coronary arteries
271088013	Allograft replacement of coronary artery
11923031000006113	Allograft replacement of coronary artery
271095016	Other specified allograft replacement of coronary artery
271096015	Allograft replacement of coronary artery NOS
271087015	Allograft bypass of coronary artery
11923051000006118	Allograft replacement of one coronary artery
11923071000006111	Allograft replacement of two coronary arteries
11923061000006116	Allograft replacement of three coronary arteries
11923041000006115	Allograft replacement of four or more coronary arteries
271103017	Other specified prosthetic replacement of coronary artery
271104011	Prosthetic replacement of coronary artery NOS
271098019	Prosthetic replacement of coronary artery
11904621000006111	Prosthetic replacement of coronary artery
271097012	Prosthetic bypass of coronary artery
865191000006114	Insertn coronary artery stent
11904641000006116	Prosthetic replacement of one coronary artery
11904661000006117	Prosthetic replacement of two coronary arteries
11904651000006119	Prosthetic replacement of three coronary arteries
11904631000006114	Prosthetic replacement of four or more coronary arteries
271105012	Revision of bypass for coronary artery
271113013	Revision of bypass for coronary artery NOS
271112015	Other specified revision of bypass for coronary artery
865201000006112	Coronary A revasc. by-pass
271106013	Revision of bypass for one coronary artery
271107016	Revision of bypass for two coronary arteries
271108014	Revision of bypass for three coronary arteries
271109018	Revision of bypass for four or more coronary arteries
271110011	Revision of connection of thoracic artery to coronary artery
271111010	Revision of implantation of thoracic artery into heart
271128013	Connection of mammary artery to coronary artery NOS
589721000006114	Connection of mammary artery to coronary artery OS
987711000006115	Int.mammary coronary A by-pass
865211000006110	Heart: int. mammary A implant
271114019	Connection of mammary artery to coronary artery
271115018	Creation of bypass from mammary artery to coronary artery
628021000006118	Double implantation of mammary arteries into coronary arteries
142361000006111	Single anastomosis of mammary artery to left anterior descending coronary artery
271126012	Single implantation of mammary artery into coronary artery
238561000006119	Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery
271160017	Diagnostic transluminal operation on coronary artery NOS
619381000006119	Diagnostic transluminal operation on coronary artery OS
271157012	Diagnostic transluminal operations on coronary artery
271166011	Replacement of coronary arteries using multiple methods
272117011	Rotary blade angioplasty
271162013	Endarterectomy of coronary artery
2829721000006119	Coronary endarterectomy
2829711000006110	Thromboendarterectomy of coronary artery
900001000006119	Bypass graft mech. complic.
324808010	Mechanical complication of coronary bypass
8067801000006114	Stent in anterior descending branch of left coronary artery
8067811000006112	Stent in circumflex branch of left coronary artery
2846691000006115	Gas endarterectomy of coronary artery
271080018	Other autograft replacement of coronary artery
271086012	Other autograft replacement of coronary artery NOS
271165010	Other replacement of coronary artery
271168012	Replacement of coronary artery NOS
5040101000006118	CBG - Coronary bypass graft
5040111000006115	Coronary artery bypass grafting
271129017	Connection of other thoracic artery to coronary artery
271135017	Connection of other thoracic artery to coronary artery NOS
271167019	Other specified replacement of coronary artery
348644016	Coronary artery bypass graft operations
1221554018	Other autograft bypass of coronary artery
271170015	Other specified other bypass of coronary artery
271169016	Coronary artery bypass graft
5040091000006112	CABG - Coronary artery bypass graft
5040131000006114	CAG - Coronary artery graft
589781000006113	Connection of other thoracic artery to coronary artery OS
36861000006113	Other autograft replacement of coronary artery OS
271171016	Other bypass of coronary artery NOS
271081019	Autograft replacement of one coronary artery NEC
271132019	Single anastomosis of thoracic artery to coronary artery NEC
405092018	Single anastomosis of mammary artery to coronary artery NEC
5040151000006119	CABG x 1 - Coronary artery bypass graft x 1
142431000006114	Single implantation thoracic artery into coronary artery NEC
5040141000006116	Coronary artery bypass graft x 1
627951000006112	Double anastom thoracic arteries to coronary arteries NEC
5040171000006112	CABG x 2 - Coronary artery bypass grafts x 2
5040161000006117	Coronary artery bypass grafts x 2
271082014	Autograft replacement of two coronary arteries NEC
628031000006115	Double implant thoracic arteries into coronary arteries NEC
