OPCS4	Term_description
J55	Total excision of pancreas
J55.1	Total pancreatectomy and excision of surrounding tissue
J55.2	Total pancreatectomy NEC
J55.3	Excision of transplanted pancreas
J55.8	Other specified total excision of pancreas
J55.9	Unspecified total excision of pancreas
J56	Excision of head of pancreas
J56.1	Pancreaticoduodenectomy and excision of surrounding tissue
J56.2	Pancreaticoduodenectomy and resection of antrum of stomach
J56.3	Pancreaticoduodenectomy NEC
J56.4	Subtotal excision of head of pancreas with preservation of duodenum and drainage HFQ
J56.8	Other specified excision of head of pancreas
J56.9	Unspecified excision of head of pancreas
J57	Other partial excision of pancreas
J57.1	Subtotal pancreatectomy
J57.2	Left pancreatectomy and drainage of pancreatic duct
J57.3	Left pancreatectomy NEC
J57.4	Excision of tail of pancreas and drainage of pancreatic duct
J57.5	Excision of tail of pancreas NEC
J57.6	Pancreatic necrosectomy
J57.8	Other specified other partial excision of pancreas
J57.9	Unspecified other partial excision of pancreas
