MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId	category
197984010	2751943	C10E	C10E.00	Type 1 diabetes mellitus	46635009	197984010	NA	32	type 1
292538019	10	C10E5-1	C10E511	Type I diabetes mellitus with ulcer	190368000	292538019	NA	32	type 1
292540012	272	C10E5	C10E500	Type 1 diabetes mellitus with ulcer	190368000	292540012	NA	32	type 1
292541011	172	C10E6	C10E600	Type 1 diabetes mellitus with gangrene	420825003	2618207019	NA	32	type 1
292543014	13	C10E6-1	C10E611	Type I diabetes mellitus with gangrene	420825003	2618207019	NA	32	type 1
292548017	1658	C10E8	C10E800	Type 1 diabetes mellitus - poor control	444073006	2872487013	NA	32	type 1
292550013	59	C10E8-1	C10E811	Type I diabetes mellitus - poor control	444073006	2872487013	NA	32	type 1
292551012	34	C10E9-1	C10E911	Type I diabetes mellitus maturity onset	190372001	292551012	NA	32	type 1
292553010	2164	C10E9	C10E900	Type 1 diabetes mellitus maturity onset	190372001	292553010	NA	32	type 1
429970018	62	C10E4-1	C10E411	Unstable type I diabetes mellitus	290002008	429970018	NA	32	type 1
429971019	468	C10E4	C10E400	Unstable type 1 diabetes mellitus	290002008	429971019	NA	32	type 1
457325013	108	C10EA-1	C10EA11	Type I diabetes mellitus without complication	313435000	457325013	NA	32	type 1
457326014	376	C10EA	C10EA00	Type 1 diabetes mellitus without complication	313435000	457326014	NA	32	type 1
459161015	286	C10EE	C10EE00	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	459161015	NA	32	type 1
459163017	43	C10EE-1	C10EE11	Type I diabetes mellitus with hypoglycaemic coma	314771006	459163017	NA	32	type 1
459292011	63	C10EH	C10EH00	Type 1 diabetes mellitus with arthropathy	314893005	459292011	NA	32	type 1
459294012	23	C10EH-1	C10EH11	Type I diabetes mellitus with arthropathy	314893005	459294012	NA	32	type 1
459296014	223	C10EJ	C10EJ00	Type 1 diabetes mellitus with neuropathic arthropathy	71771000119100	3010513018	NA	32	type 1
494564012	82270	C10E-1	C10E.11	Type I diabetes mellitus	46635009	494564012	NA	32	type 1
1780311019	3899	C10EL	C10EL00	Type 1 diabetes mellitus with persistent microalbuminuria	401110002	1780311019	NA	32	type 1
2967831017	12	L180A	NA	Pre-existing type 1 diabetes mellitus in pregnancy	199223000	306106018	NA	32	type 1
3537388019	1	^ESCT1168360	NA	Diabetic oculopathy due to type 1 diabetes mellitus	739681000	3537388019	NA	32	type 1
72711000006117	33	C1084-2	C108412	Unstable type 1 diabetes mellitus	290002008	429971019	NA	32	type 1
72721000006113	16	C1084-1	C108411	Unstable type I diabetes mellitus	290002008	429970018	NA	32	type 1
84281000006115	36167	C108-2	C108.12	Type 1 diabetes mellitus	46635009	197984010	NA	32	type 1
84291000006117	798	C1088-2	C108812	Type 1 diabetes mellitus - poor control	444073006	2872487013	NA	32	type 1
84301000006116	34	C1089-2	C108912	Type 1 diabetes mellitus maturity onset	190372001	292553010	NA	32	type 1
84311000006118	11	C108H-2	C108H12	Type 1 diabetes mellitus with arthropathy	314893005	459292011	NA	32	type 1
84321000006114	14	C108F-2	C108F12	Type 1 diabetes mellitus with diabetic cataract	421920002	2618234016	NA	32	type 1
84331000006112	2	C1086-2	C108612	Type 1 diabetes mellitus with gangrene	420825003	2618207019	NA	32	type 1
84341000006119	27	C108E-2	C108E12	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	459161015	NA	32	type 1
84361000006115	12	C1083-2	C108312	Type 1 diabetes mellitus with multiple complications	422228004	2618232017	NA	32	type 1
