snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId,qof
266918002#,Tobacco smoking consumption,Active smoker,397730015#,1,1,2,5495901000006112#,Amount and type of tobacco smoked,^ESCTAM549590,NA,1225107019,NA,17,1
266918002#,Tobacco smoking consumption,Active smoker,397730015#,1,1,2,102921000006112#,Tobacco smoking consumption,137,137..00,397730015,NA,17,1
266918002#,Tobacco smoking consumption,Active smoker,397730015#,1,1,2,137721000006115#,Smoker - amount smoked,137-1,137..11,397730015,NA,17,1
266918002#,Tobacco smoking consumption,Active smoker,397730015#,1,1,2,250387019#,Tobacco consumption NOS,137Z,137Z.00,397730015,NA,17,1
266918002#,Tobacco smoking consumption (observable entity),Active smoker,659470017#,1,1,2,5495901000006112#,Amount and type of tobacco smoked,^ESCTAM549590,NA,1225107019,NA,17,1
266918002#,Tobacco smoking consumption (observable entity),Active smoker,659470017#,1,1,2,102921000006112#,Tobacco smoking consumption,137,137..00,397730015,NA,17,1
266918002#,Tobacco smoking consumption (observable entity),Active smoker,659470017#,1,1,2,137721000006115#,Smoker - amount smoked,137-1,137..11,397730015,NA,17,1
266918002#,Tobacco smoking consumption (observable entity),Active smoker,659470017#,1,1,2,250387019#,Tobacco consumption NOS,137Z,137Z.00,397730015,NA,17,1
266918002#,Amount and type of tobacco smoked,Active smoker,1225107019#,1,1,2,5495901000006112#,Amount and type of tobacco smoked,^ESCTAM549590,NA,1225107019,NA,17,1
266918002#,Amount and type of tobacco smoked,Active smoker,1225107019#,1,1,2,102921000006112#,Tobacco smoking consumption,137,137..00,397730015,NA,17,1
266918002#,Amount and type of tobacco smoked,Active smoker,1225107019#,1,1,2,137721000006115#,Smoker - amount smoked,137-1,137..11,397730015,NA,17,1
266918002#,Amount and type of tobacco smoked,Active smoker,1225107019#,1,1,2,250387019#,Tobacco consumption NOS,137Z,137Z.00,397730015,NA,17,1
266920004#,Occasional smoker,Active smoker,397733018#,1,1,2,5495941000006114#,Occasional smoker,^ESCTOC549594,NA,397733018,NA,17,1
266920004#,Occasional smoker,Active smoker,397733018#,1,1,2,88471000006112#,Trivial cigarette smoker (less than one cigarette/day),1372,1372,397735013,NA,17,1
266920004#,Occasional smoker,Active smoker,397733018#,1,1,2,5495951000006111#,Occasional cigarette smoker (less than one cigarette/day),^ESCTOC549595,NA,397734012,NA,17,1
266920004#,Occasional cigarette smoker (less than one cigarette/day),Active smoker,397734012#,1,1,2,5495941000006114#,Occasional smoker,^ESCTOC549594,NA,397733018,NA,17,1
266920004#,Occasional cigarette smoker (less than one cigarette/day),Active smoker,397734012#,1,1,2,88471000006112#,Trivial cigarette smoker (less than one cigarette/day),1372,1372,397735013,NA,17,1
266920004#,Occasional cigarette smoker (less than one cigarette/day),Active smoker,397734012#,1,1,2,5495951000006111#,Occasional cigarette smoker (less than one cigarette/day),^ESCTOC549595,NA,397734012,NA,17,1
266920004#,Trivial cigarette smoker (less than one cigarette/day),Active smoker,397735013#,1,1,2,5495941000006114#,Occasional smoker,^ESCTOC549594,NA,397733018,NA,17,1
