snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
204211000000109#,NA,Non-English speaking,NA#,0,1,1,312421000000119#,Interpreter needed - Urdu,9NUs,9NUs.00,3.12E+14,NA,37
204241000000105#,NA,Non-English speaking,NA#,0,1,1,8064681000006112#,Yoruba language interpreter needed,^ESCTYO806468,NA,6.45E+14,NA,37
204241000000105#,NA,Non-English speaking,NA#,0,1,1,312491000000116#,Interpreter needed - Yoruba,9NUv,9NUv.00,3.12E+14,NA,37
362821000000104#,NA,Non-English speaking,NA#,0,1,1,684061000000119#,Zulu language interpreter needed,9Nmu,9Nmu.00,6.84E+14,NA,37
362911000000103#,NA,Non-English speaking,NA#,0,1,1,684271000000118#,Zhuang language interpreter needed,9Nmv,9Nmv.00,6.84E+14,NA,37
362961000000101#,NA,Non-English speaking,NA#,0,1,1,684381000000113#,Uzbek language interpreter needed,9Nmw,9Nmw.00,6.84E+14,NA,37
363021000000102#,NA,Non-English speaking,NA#,0,1,1,684501000000112#,Yiddish language interpreter needed,9Nmy,9Nmy.00,6.85E+14,NA,37
363141000000105#,NA,Non-English speaking,NA#,0,1,1,684771000000112#,Tibetan language interpreter needed,9Nn0,9Nn0.00,6.85E+14,NA,37
363181000000102#,NA,Non-English speaking,NA#,0,1,1,684881000000117#,Tsonga language interpreter needed,9Nn1,9Nn1.00,6.85E+14,NA,37
363221000000107#,NA,Non-English speaking,NA#,0,1,1,684961000000115#,Tatar language interpreter needed,9Nn2,9Nn2.00,6.85E+14,NA,37
363301000000109#,NA,Non-English speaking,NA#,0,1,1,685121000000110#,Twi language interpreter needed,9Nn3,9Nn3.00,6.85E+14,NA,37
